sp,Common.bulbul,Violet.backedstarling,Yellowwhite.eye,Bluemonkey,BlackandWhite_SasquedHornbill,Yellow.whiskered_greenbul,Olivaceouswarbler,Yellow.spottedbarbet,Joyfulgreenbul,Red.tailedmonkey,Grey.throatedbarbet,Willowwarbler,Africanthrush,Slender.billedgreenbul,Colobusmonkey,Littlegreenbul,Yellow.rumpedtinkerbird,Hairy.breastedbarbet,Ansorgesgreenbul,Yellow.billedbarbet,Shelley.sgreenbul,CameroonSombreFreen,Ross.sturaco,Cabanis.sgreenbul,LittleGreyGreenbul,Olivethrush,Toro_olive_greenbul,Dark.backedweaver,UgandaWoodlandwarbler,Bar.throatedapalis
Prunus_africana,0.012684989429175475,0.1331923890063425,0,0.008456659619450317,0.052854122621564484,0.0021141649048625794,0,0,0,0,0,0,0,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0.0021141649048625794,0.0021141649048625794,0.004228329809725159,0,0
Ficus_lutea,0.014799154334038054,0,0.004228329809725159,0,0.012684989429175475,0.0021141649048625794,0.012684989429175475,0.02536997885835095,0.03805496828752643,0.023255813953488372,0.004228329809725159,0.004228329809725159,0.012684989429175475,0.004228329809725159,0,0,0.012684989429175475,0.019027484143763214,0,0.004228329809725159,0.0021141649048625794,0,0,0,0.004228329809725159,0,0,0.006342494714587738,0,0
Polyscias_fulva,0.0021141649048625794,0,0.012684989429175475,0,0,0.0021141649048625794,0.02959830866807611,0,0,0,0,0.03382663847780127,0,0.006342494714587738,0,0.02536997885835095,0.006342494714587738,0.0021141649048625794,0.02748414376321353,0.004228329809725159,0,0,0,0,0,0,0,0,0,0
Bridelia_micrantha,0.09302325581395349,0,0,0,0,0.03171247357293869,0,0.0021141649048625794,0,0,0,0,0,0.004228329809725159,0,0,0,0,0,0,0.004228329809725159,0,0,0,0,0,0,0,0,0
Ficus_thonningii,0,0,0,0.016913319238900635,0.006342494714587738,0.0021141649048625794,0,0.019027484143763214,0.02536997885835095,0,0,0,0,0.016913319238900635,0,0.021141649048625793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trilepisium_madag.,0,0,0,0.035940803382663845,0.014799154334038054,0,0,0,0.0021141649048625794,0.016913319238900635,0,0,0,0,0.008456659619450317,0,0,0,0,0,0,0,0,0.0021141649048625794,0,0,0,0,0,0
Antiaris_toxicaria,0,0,0,0.040169133192389,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021141649048625794,0,0,0,0,0,0.010570824524312896,0
Harungana_madag,0.004228329809725159,0,0,0,0,0.0021141649048625794,0,0,0.004228329809725159,0,0,0,0,0.012684989429175475,0,0.0021141649048625794,0,0,0,0,0.004228329809725159,0.006342494714587738,0,0,0.004228329809725159,0,0,0,0,0.0021141649048625794
