sp,Commonbulbul,Violet.backedstarling,Yellowwhite.eye,Bluemonkey,BlackandWhite_SasquedHornbill,Yellow.whiskered_greenbul,Olivaceouswarbler,Yellow.spottedbarbet,Joyfulgreenbul,Red.tailedmonkey,Grey.throatedbarbet,Speckledmousebird,Willowwarbler,Africanthrush,Slender.billedgreenbul,Yellow.frontedcanary,Yellow.rumpedtinkerbird,Hairy.breastedbarbet,Ansorgesgreenbul,Yellow.billedbarbet,Shelley.sgreenbul,CameroonSombreFreen,Honeyguidegreenbul,Olivethrush,Toro_olive_greenbul,Baglafechtweaver,Brown.cappedweaver,GreatBlueturaco,Africanparadiseflycatcher,Bar.throatedapalis,NorthernBlackflycatcher,Commondrongo,Commonwattle.eye,Grey.headednegrofinch
Ficus_lutea,0.032357473035439135,0.0015408320493066256,0.0030816640986132513,0.08320493066255778,0.004622496147919877,0.009244992295839754,0.0061633281972265025,0.04160246533127889,0.01386748844375963,0.046224961479198766,0.01078582434514638,0,0,0.0015408320493066256,0,0,0,0,0,0.0030816640986132513,0.0030816640986132513,0,0,0,0,0.004622496147919877,0.007704160246533128,0,0,0,0,0,0,0
Ficus_thonningii,0.009244992295839754,0,0,0.07858243451463791,0.0030816640986132513,0.0061633281972265025,0.0015408320493066256,0.03543913713405239,0.01078582434514638,0.01848998459167951,0.015408320493066256,0,0,0,0,0,0.004622496147919877,0.0030816640986132513,0,0.0015408320493066256,0,0.0030816640986132513,0,0,0,0,0,0,0,0,0,0,0,0
Prunus_africana,0.02157164869029276,0.09553158705701079,0,0,0,0,0,0,0,0,0.0061633281972265025,0,0,0.01078582434514638,0.0061633281972265025,0,0.004622496147919877,0.0015408320493066256,0,0.0030816640986132513,0,0,0,0.0015408320493066256,0,0,0,0,0.0015408320493066256,0,0,0.0015408320493066256,0,0
Bridelia_micrantha,0.030816640986132512,0,0.0030816640986132513,0,0,0.029275808936825885,0.03389830508474576,0,0,0,0.004622496147919877,0.0061633281972265025,0.0061633281972265025,0,0,0.01694915254237288,0.0015408320493066256,0,0,0,0,0,0,0,0,0,0,0,0.0030816640986132513,0,0,0,0.0015408320493066256,0
Harungana_madag.,0.0061633281972265025,0,0.015408320493066256,0.0015408320493066256,0,0.023112480739599383,0.0015408320493066256,0,0,0,0.0015408320493066256,0,0,0,0.009244992295839754,0,0.0015408320493066256,0,0,0,0.0061633281972265025,0.0015408320493066256,0.0015408320493066256,0,0.007704160246533128,0,0,0,0.0015408320493066256,0.004622496147919877,0,0,0,0
Polyscias_fulva,0.0015408320493066256,0.004622496147919877,0,0.0015408320493066256,0,0.020030816640986132,0.01078582434514638,0,0,0,0,0,0.01848998459167951,0.004622496147919877,0.0015408320493066256,0,0,0,0.004622496147919877,0.0015408320493066256,0,0,0.004622496147919877,0,0,0,0,0,0,0,0,0,0,0.0015408320493066256
Antiaris_toxicaria,0.01078582434514638,0,0,0.01848998459167951,0.0030816640986132513,0,0.012326656394453005,0,0,0,0,0,0.0030816640986132513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01078582434514638,0,0,0,0,0,0
Trilepisium_madag,0,0,0,0,0.0061633281972265025,0,0.009244992295839754,0,0,0.007704160246533128,0,0,0.0030816640986132513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015408320493066256,0,0,0
