sp,Coccothraustes.coccothraustes,Erithacus.rubecula,Fringilla.coelebs,Luscinia.luscinia,Muscicapa.striata,Parus.major,Phylloscopus.trochilus,Poecile.palustris,Sitta.europaea,Sylvia.atricapilla,Sylvia.borin,Turdus.merula,Turdus.philomelos,Apodemus.flavicollis,Columba.palumbus,Oriolus.oriolus
Prunus.padus,0.05027932960893855,0.013966480446927373,0.008379888268156424,0.013966480446927373,0.0111731843575419,0.013966480446927373,0,0,0.008379888268156424,0.18435754189944134,0.04748603351955307,0.055865921787709494,0.0111731843575419,0,0.002793296089385475,0.002793296089385475
Ribes.spicatum,0,0,0,0,0,0.002793296089385475,0,0,0,0.013966480446927373,0,0.00558659217877095,0.002793296089385475,0.008379888268156424,0,0
Rubus.idaeus,0,0,0,0,0,0,0,0,0,0.019553072625698324,0,0.002793296089385475,0,0,0,0
Ribes.nigrum,0,0.002793296089385475,0,0,0,0,0,0,0,0.002793296089385475,0,0,0,0,0,0
Ribes.alpinum,0,0,0,0,0,0,0,0,0,0.01675977653631285,0,0,0,0,0,0
Sorbus.aucuparia,0,0.013966480446927373,0.00558659217877095,0,0,0,0.002793296089385475,0.00558659217877095,0,0.055865921787709494,0.013966480446927373,0.08659217877094973,0,0,0,0
Frangula.alnus,0,0.025139664804469275,0,0.00558659217877095,0.002793296089385475,0.030726256983240222,0,0,0,0.08659217877094973,0.002793296089385475,0.008379888268156424,0.002793296089385475,0,0,0
Viburnum.opulus,0,0.01675977653631285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euonymus.europaeus,0,0.12290502793296089,0,0,0,0,0,0,0,0.008379888268156424,0,0,0,0,0,0
