sp,Coccothraustes_coccothraustes,Dendrocopos_major,Erithacus_rubecula,Ficedula_hypoleuca,Fringilla_coelebs,Garrulus_glandarius,Luscinia_luscinia,Muscicapa_striata,Parus_major,Phylloscopus_trochilus,Poecile_palustris,Sitta_europaea,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Turdus_philomelos,Martes_martes,Oriolus_oriolus,Periparus_ater,Turdus_iliacus
Prunus_padus,0.11160714285714286,0.004464285714285714,0.015625,0,0.004464285714285714,0.004464285714285714,0,0.008928571428571428,0.05803571428571429,0,0,0.008928571428571428,0.125,0,0.31919642857142855,0.015625,0,0.002232142857142857,0.002232142857142857,0.002232142857142857
Ribes_spicatum,0,0,0,0,0,0,0,0,0,0,0.002232142857142857,0,0.026785714285714284,0,0.020089285714285716,0,0,0,0,0
Rubus_idaeus,0,0,0,0,0,0,0,0,0,0,0,0,0.004464285714285714,0,0.011160714285714286,0,0,0,0,0
Ribes_nigrum,0,0,0.013392857142857142,0,0,0,0.008928571428571428,0,0,0,0,0,0.049107142857142856,0.002232142857142857,0.015625,0.002232142857142857,0,0,0,0
Sorbus_aucuparia,0.013392857142857142,0.008928571428571428,0.011160714285714286,0.004464285714285714,0,0.004464285714285714,0,0,0,0.008928571428571428,0.013392857142857142,0,0.03125,0.002232142857142857,0.020089285714285716,0,0.002232142857142857,0,0,0
Viburnum_opulus,0,0,0.006696428571428571,0,0,0.004464285714285714,0,0,0.006696428571428571,0,0.004464285714285714,0,0.011160714285714286,0.002232142857142857,0,0.004464285714285714,0,0,0,0
