sp,Artibeus_lituratus,Carollia_perspicillata,Platyrrhinus_lineatus,Sturnira_lilium,Glossophaga_soricina,Vampyressa_cf._pusilla
Cecropia_pachystachya,0.13736263736263737,0.01098901098901099,0.027472527472527472,0.016483516483516484,0.01098901098901099,0
Solanum_sp.,0.1978021978021978,0.13736263736263737,0.1043956043956044,0.16483516483516483,0.005494505494505495,0
Ficus_sp.,0.01098901098901099,0.005494505494505495,0.005494505494505495,0,0,0.005494505494505495
Ficus_guarantica,0.02197802197802198,0,0.02197802197802198,0.005494505494505495,0,0
Piper_aduncum,0.01098901098901099,0.06043956043956044,0,0.01098901098901099,0,0
Unk._spp.,0.01098901098901099,0,0,0,0,0
Photomorpha_umbella,0,0.016483516483516484,0,0,0,0
