sp,Commonbulbul,Violet.backedstarling,Yellowwhite.eye,Bluemonkey,BlackandWhite_SasquedHornbill,Yellow.whiskered_greenbul,Olivaceouswarbler,Yellow.spottedbarbet,Joyfulgreenbul,Red.tailedmonkey,Grey.throatedbarbet,Speckledmousebird,Willowwarbler,Africanthrush,Slender.billedgreenbul,Colobusmonkey,Yellow.frontedcanary,Africancitril,Yellow.rumpedtinkerbird,Hairy.breastedbarbet,Yellow.billedbarbet,Shelley.sgreenbul,Stuhlmann.sstarling,African.greenpigeon,CameroonSombreFreen,Ross.sturaco,Cabanis.sgreenbul,Honeyguidegreenbul,LittleGreyGreenbul,Olivethrush,Toro_olive_greenbul,AfricanBlueFlycatcher,Baglafechtweaver,Brown.cappedweaver,Cardinalwoodpecker,AfricanDuskyflycatcher,Gardenwarbler,Red.shoulderedCuckooshrike,White.eyedSlatyflycatcher
Ficus_lutea,0.029516994633273702,0.01967799642218247,0.04114490161001789,0.011627906976744186,0.009838998211091235,8.944543828264759e-4,0.014311270125223614,0.020572450805008944,8.944543828264759e-4,0,0.011627906976744186,0.0017889087656529517,0.011627906976744186,0.0017889087656529517,0,0,0.01520572450805009,0.022361359570661897,8.944543828264759e-4,8.944543828264759e-4,0,0,0.005366726296958855,0.01073345259391771,0,0,0,0,0,0,0,0.0026833631484794273,0,8.944543828264759e-4,0.0035778175313059034,8.944543828264759e-4,8.944543828264759e-4,0,0
Harungana_madag.,0.08676207513416816,0.0026833631484794273,0.03488372093023256,0,0,0.01699463327370304,0.008050089445438283,0,0.0026833631484794273,8.944543828264759e-4,0.005366726296958855,0.0035778175313059034,0,8.944543828264759e-4,0.004472271914132379,0,0,0,0.0026833631484794273,0,0,0.0017889087656529517,0,0,8.944543828264759e-4,0,8.944543828264759e-4,0,0,0,0.0026833631484794273,0,0,0,0,0,0,0,0
Bridelia_micrantha,0.057245080500894455,0.023255813953488372,0.005366726296958855,0,0.0017889087656529517,0.01699463327370304,0.0026833631484794273,0,0,0,0.03488372093023256,0.016100178890876567,8.944543828264759e-4,0.0017889087656529517,0,0,0.0017889087656529517,8.944543828264759e-4,0,0,0,0,0,0.0017889087656529517,0,8.944543828264759e-4,8.944543828264759e-4,0,0,0,0,0,0.0017889087656529517,0,0,0,0,0,8.944543828264759e-4
Ficus_thonningii,0.06440071556350627,0.006261180679785331,0.004472271914132379,0.01967799642218247,0,0.008050089445438283,0.004472271914132379,0.008944543828264758,0.008050089445438283,0.007155635062611807,0.0026833631484794273,0,0.0035778175313059034,8.944543828264759e-4,8.944543828264759e-4,0.012522361359570662,0,0,0,8.944543828264759e-4,8.944543828264759e-4,0,0,0,0,0,0,0,8.944543828264759e-4,0,0,0,0,0,0,0,0,0,0
Antiaris_toxicaria,0.03577817531305903,0,0.006261180679785331,0.0017889087656529517,0.0017889087656529517,0,0.004472271914132379,0,0.0035778175313059034,8.944543828264759e-4,8.944543828264759e-4,0.05992844364937388,0,8.944543828264759e-4,0,0.0017889087656529517,0,0,0,0,0,0,8.944543828264759e-4,0,8.944543828264759e-4,0,0,0,0,0,0,0,0.0017889087656529517,0,0,0,0,8.944543828264759e-4,0
Polyscias_fulva,0.03130590339892665,0,0.007155635062611807,0.005366726296958855,0,0.006261180679785331,0.006261180679785331,0.0017889087656529517,0,0,0,0,0.008050089445438283,0.006261180679785331,0.0017889087656529517,0.0035778175313059034,0,0,0,0,0.0017889087656529517,0,0,0,8.944543828264759e-4,0,0,0.0017889087656529517,8.944543828264759e-4,0,0,0,0,0,0,0,0,0,0
Prunus_africana,0.008050089445438283,0,0.004472271914132379,0,0,0.01967799642218247,0,8.944543828264759e-4,0.008050089445438283,0,0.0026833631484794273,0,0,0,8.944543828264759e-4,0,0,0,0,0,0.0017889087656529517,0,0,0,0,0,0,0,0,0.0017889087656529517,0,0,0,0,0,0,0,0,0
Trilepisium_madag,0,0,0,0.0035778175313059034,0,0,8.944543828264759e-4,0,0,0,0,0,0,8.944543828264759e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
