ind,Columba_palumbus,Curruca_conspicillata,Curruca_melanocephala,Curruca_undata,Cyanopica_cooki,Erithacus_rubecula,Phoenicurus_phoenicurus,Apodemus_sylvaticus,Curruca_communis,Mus_spretus,Sylvia_atricapilla,Turdus_merula
pang011,0.009741279359650416,0.009741279359650416,0.08767151423685372,0.009741279359650416,0.009741279359650416,0.09741279359650415,0.029223838078951247,0,0,0,0,0
pang012,0,0,0.009741279359650416,0,0,0.029223838078951247,0.009741279359650416,0.029223838078951247,0.009741279359650416,0.07793023487720332,0.009741279359650416,0.029223838078951247
pang013,0,0,0.025238769250003353,0,0,0,0,0.05047753850000671,0,0,0,0
pang014,0,0,0.009741279359650416,0,0,0.009741279359650416,0,0.009741279359650416,0,0,0,0.009741279359650416
pang015,0,0,0.023796553864288875,0,0,0.007932184621429623,0,0,0,0.007932184621429623,0,0
pang016,0,0,0.05225909868235987,0.013064774670589967,0,0.06532387335294984,0.013064774670589967,0,0,0.006532387335294983,0.006532387335294983,0
pang017,0,0,0.009741279359650416,0,0,0.009741279359650416,0,0.03896511743860166,0,0,0,0.029223838078951247
pang018,0,0.006532387335294983,0.006532387335294983,0,0,0.07185626068824484,0,0,0,0,0,0
pang020,0,0,0.01948255871930083,0,0,0,0.009741279359650416,0.01948255871930083,0,0,0,0.009741279359650416
