sp,Turdus.iliacus,Turdus.merula,Turdus.philomelos,Turdus.pilaris,Turdus.torquatus,Turdus.viscivorus
Berberis.vulgaris,0.03488372093023256,0.03488372093023256,0.011627906976744186,0,0.3953488372093023,0.10465116279069768
Daphne.oleoides,0,0,0,0,0,0.023255813953488372
Juniperus.communis,0,0,0,0,0.023255813953488372,0
Juniperus.sabina,0.011627906976744186,0.023255813953488372,0,0.011627906976744186,0.08139534883720931,0.20930232558139536
Rosa.canina,0,0,0,0,0.03488372093023256,0
