sp,Turdus.iliacus,Turdus.merula,Turdus.philomelos,Turdus.pilaris,Turdus.torquatus,Turdus.viscivorus
Berberis.vulgaris,0.002840909090909091,0.014204545454545454,0.002840909090909091,0,0.03409090909090909,0.011363636363636364
Crataegus.monogyna,0.05397727272727273,0.07954545454545454,0.008522727272727272,0.005681818181818182,0.24431818181818182,0.03977272727272727
Daphne.laureola,0,0,0,0,0,0
Hedera.helix,0.011363636363636364,0.21022727272727273,0,0,0.005681818181818182,0.008522727272727272
Juniperus.communis,0,0,0,0,0.005681818181818182,0
Lonicera.arborea,0,0.002840909090909091,0,0,0.008522727272727272,0
Rosa.canina,0,0.03977272727272727,0,0,0.028409090909090908,0.011363636363636364
Taxus.baccata,0.017045454545454544,0.008522727272727272,0,0,0.028409090909090908,0.005681818181818182
Viscum.album,0,0,0,0,0.005681818181818182,0.10511363636363637
