sp,Turdus_merula,Turdus_pilaris,Turdus_iliacus,Turdus_philomelos,Sylvia_atricapilla,Erithacus_rubecula
Sambucus_nigra,0.0444542903559297,0,0.004135282823807414,0.002806084773297888,5.907546891153448e-4,5.907546891153448e-4
Crataegus_monogyna,0.11283414562103086,0.21887461231723526,0.4786589868557082,0.002215330084182543,0,0
Rubus_fruticosus,0.002953773445576724,0,0,1.476886722788362e-4,0,0
Prunus_spinosa,0.020528725446758232,0.04474966770048737,0.03086693250627677,0,1.476886722788362e-4,0
Rosa_canina,0.007679810958499483,0,0,0,0,0
Hedera_helix,0.024073253581450304,0,0,0.002215330084182543,1.476886722788362e-4,2.953773445576724e-4
Euonymus_europaeus,8.861320336730173e-4,0,0,0,0,1.476886722788362e-4
