sp,Coccothraustes_coccothraustes,Dendrocopos_major,Erithacus_rubecula,Luscinia_luscinia,Parus_major,Poecile_palustris,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Turdus_philomelos
Prunus_padus,0.05908096280087528,0.00437636761487965,0.0087527352297593,0.006564551422319475,0,0.002188183807439825,0.015317286652078774,0.0175054704595186,0.27571115973741794,0.09190371991247265
Ribes_spicatum,0,0,0.00437636761487965,0,0,0,0.03282275711159737,0.006564551422319475,0.019693654266958426,0.019693654266958426
Ribes_nigrum,0,0,0.00437636761487965,0,0,0,0.006564551422319475,0,0,0
Sorbus_aucuparia,0,0,0.00437636761487965,0,0,0,0.13129102844638948,0,0.06345733041575492,0.00437636761487965
Frangula_alnus,0,0,0.01312910284463895,0,0,0,0.045951859956236324,0.0087527352297593,0,0
Rhamnus_cathartica,0,0,0.02188183807439825,0,0,0,0,0,0,0
Viburnum_opulus,0,0,0.002188183807439825,0,0,0,0.0087527352297593,0,0,0
Euonymus_europaeus,0,0,0.10722100656455143,0,0.002188183807439825,0.00437636761487965,0.006564551422319475,0,0,0
