sp,Euphonia_musica,Loxigilla_portorricencis,Margarops_fuscatus,Nesospingus_speculiferus,Spindalis_portoricensis,Turdus_plumbeus,Vireo_altiloquous
Cecropia_schreberiana,0.00916030534351145,0.03816793893129771,0,0.03969465648854962,0.1297709923664122,0.00916030534351145,0.025954198473282442
Clusia_rosea,0,0.0183206106870229,0,0,0,0.016793893129770993,0.10076335877862595
Guarea_guidonia,0,0.14961832061068703,0.024427480916030534,0.00916030534351145,0,0,0.05343511450381679
Miconia_prasinaaffinis,0,0.02748091603053435,0,0.01984732824427481,0.013740458015267175,0,0
Schefflera_morototoni,0,0,0,0.00916030534351145,0.15572519083969466,0.035114503816793895,0.015267175572519083
Phoradendron_spp,0.07938931297709924,0.010687022900763359,0,0,0.00916030534351145,0,0
