sp,Dendrocopos_medius,Erithacus_rubecula,Parus_major,Phylloscopus_trochilus,Poecile_palustris,Sitta_europaea,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Turdus_philomelos,Apodemus_flavicollis
Prunus_padus,0,0.05806451612903226,0.07741935483870968,0,0.0064516129032258064,0,0.05161290322580645,0.07741935483870968,0.15483870967741936,0.012903225806451613,0
Ribes_spicatum,0,0,0,0,0,0,0.0064516129032258064,0,0,0,0.0064516129032258064
Ribes_nigrum,0,0,0,0,0,0,0.012903225806451613,0,0,0,0
Sorbus_aucuparia,0,0.03225806451612903,0,0.0064516129032258064,0.07096774193548387,0,0,0,0.0064516129032258064,0,0
Frangula_alnus,0.0064516129032258064,0.03870967741935484,0.0064516129032258064,0,0.012903225806451613,0.11612903225806452,0.2129032258064516,0.025806451612903226,0,0,0
