sp,Ortalis_vetula,Aratinga_astec,Amazona_albifrons,Trogon_citreolus,Pteroglossus_torguatus,Ramphastos_sulfuratus,Centurus_aurifrons,Centurus_pygmaeus,Cotinga_amabilis,Tityra_semifasciata,Tyrannus_melancholicus,Pitangus_sulphuratus,Myiozetetes_similis,Megarynchus_pitangua,Psilorhinus_morio,Cyanocorax_yncas,Cissilopha_yucatanica,Turdus_grayi,Icterus_gularis,Icterus_prosthemelas,Icterus_auratus,Icterus_chrysater,Icterus_mesomelas_,Dives_dives,Euphonia_affinis,Euphonia_hirundinacea,Saltator_atriceps
Neea_psychotrioides,0,0,0,0.0030743018001333435,0.008704348470257056,0.005815245573746203,2.2223868434698865e-4,0,0,0.007333876583450626,0,0,0,0.009111786058226535,0,0,0,0,0.0011111934217349433,0,0,0,0,0,0.01585302615008519,0,0
Ficus_padifolia,0,0,0,0.012000888954737386,0.010519297725757461,0.003629898511000815,0.003703978072449811,5.555967108674717e-4,0.03703978072449811,0.00274094377361286,0.01700125935254463,0.02170531150455589,0.0274094377361286,0.021853470627453884,0.008556189347359064,0,0,0.015112230535595227,0.0012593525446329356,0,0,0,0,0.00411141566041929,0.021223794355137417,0.03681754204015112,0.011371212682420919
Ehretia_tinifolia,0.016556781983850657,0.02685384102526113,0.0011852729831839394,0.019223646196014518,0.015001111193421734,0.02022372027557597,0.02622416475294466,0.011111934217349432,0,0.011334172901696422,0.006333802503889177,0.015334469219942217,0.0038521371953478033,5.926364915919697e-4,0.021816430846729386,0.01977924290688199,0.021446033039484405,0.02192755018890288,0.029705904141047484,0.011186013778798428,7.407956144899622e-4,0.0017038299133269128,0.0332617230905993,0.03015038150974146,0,1.1111934217349432e-4,0.024038817690199273
Metopium_browneii,0.020482998740647452,0.009222905400400029,0.028594710719312542,0.0026298244314393654,0.0025557448699903697,0.007370916364175123,0.003666938291725313,0.020668197644269942,0,0.0156307874657382,0.0137047188680643,0,0.0057782057930217045,0.005444847766501222,0.0022223868434698866,0.0057411660122972065,0.00548188754722572,0,8.148751759389585e-4,0,0,0.0019260685976739017,0,0,0,1.1111934217349432e-4,0.00137047188680643
Talisia_olivaeformis,0,9.630342988369508e-4,0.00725979702200163,1.1111934217349432e-4,2.2223868434698865e-4,0,0.0032224609230313353,0.00470405215201126,0,0,0,0,0,0,0.004444773686939773,0.011519371805318913,0.010111860137787984,0,0.004148455441143788,0.02585376694569968,0.03629898511000815,0.0334098822134973,0.0037780576338988067,0.002777983554337358,0,0,2.2223868434698865e-4
