sp,Attila.phoenicurus,Baryphthengus.ruficapillus,Cacicus.chrysopterus,Camptostoma.obsoletum,Carpornis.cucullata,Celeus.flavescens,Chiroxiphia.caudata,Coereba.flaveola,Conirostrum.speciosum,Dacnis.cayana,Elaenia.flavogaster,Elaenia.sp,Empidonomus.varius,Euphonia.chalybea,Euphonia.chlorotica,Euphonia.violacea,Habia.rubica,Hemithraupis.ruficapilla,Hylophilus.poicilotis,Trichothraupis.melanops,Lathrotriccus.euleri,Melanerpes.flavifrons,Mionectes.rufiventris,Myiodynastes.maculatus,Myiozetetes.similis,Orthogonys.chloricterus,Oxyruncus.cristatus,Patagioenas.plumbea,Penelope.obscura,Phylloscartes.sylviolus,Pitangus.sulphuratus,Pyroderus.scutatus,Ramphastos.dicolorus,Schiffornis.virescens,Setophaga.pitiayumi,Tachyphonus.coronatus,Tangara.cayana,Thraupis.cyanocephala,Thraupis.cyanoptera,Tangara.desmaresti,Thraupis.ornata,Thraupis.palmarum,Thraupis.sayaca,Tangara.seledon,Tersina.viridis,Tityra.cayana,Tityra.inquisitor,Troglodytes.musculus,Trogon.rufus,Trogon.surrucura,Turdus.albicollis,Turdus.amaurochalinus,Turdus.flavipes,Turdus.leucomelas,Turdus.rufiventris,Tyrannus.melancholicus,Vireo.olivaceus,Zonotrichia.capensis
Magnolia champaca,0,0,9.328358208955224e-4,0.0018656716417910447,0,0.007462686567164179,0,9.328358208955224e-4,0,0.03171641791044776,0.002798507462686567,0,0,0,0,0,0,0,0,0,0,0.010261194029850746,0.016791044776119403,0,0.012126865671641791,0,0,0,0,0,0.0065298507462686565,0,0.0065298507462686565,0,0,0,0.013059701492537313,0,0,0,0.01585820895522388,0.0037313432835820895,0.0018656716417910447,0.009328358208955223,0.002798507462686567,0,0,0,0,9.328358208955224e-4,0,0,0.0018656716417910447,0.028917910447761194,0.04291044776119403,0,0,0
Maytenus gonoclada,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,9.328358208955224e-4,0,9.328358208955224e-4,0,0,0,0,0,0,0
Miconia cabucu,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia pusilliflora,0,0,0,0,0,0,0.002798507462686567,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018656716417910447,0,0.008395522388059701,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia racemifera,0,0,0,0,0,0,0.0037313432835820895,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0.0018656716417910447,0,0,0,0,0.0037313432835820895,0,0,0,0,0,0.002798507462686567,9.328358208955224e-4,0.009328358208955223,0,0.005597014925373134,9.328358208955224e-4,0.002798507462686567,0,0,0,0.008395522388059701,0,0,0,0,0,0,0.002798507462686567,0,9.328358208955224e-4,0,0,0,0,0
Miconia tristis,9.328358208955224e-4,0,0,0.002798507462686567,0,0,0,0.0018656716417910447,9.328358208955224e-4,0.008395522388059701,9.328358208955224e-4,9.328358208955224e-4,9.328358208955224e-4,0,0.0018656716417910447,0,0,0.005597014925373134,0,0,0,0.0018656716417910447,9.328358208955224e-4,0.0037313432835820895,0,0,0,0,0,9.328358208955224e-4,0,0,9.328358208955224e-4,0,0,0.009328358208955223,0.002798507462686567,0.002798507462686567,0.0046641791044776115,0.014925373134328358,0.013059701492537313,0.007462686567164179,0.016791044776119403,0.008395522388059701,9.328358208955224e-4,0,0,9.328358208955224e-4,0,0,0,0.0037313432835820895,0,0.0065298507462686565,0.009328358208955223,0.0018656716417910447,0.0018656716417910447,9.328358208955224e-4
Morus nigra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,9.328358208955224e-4,0,9.328358208955224e-4,0,0,9.328358208955224e-4,0.0037313432835820895,0.0046641791044776115,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0
Myrsine coriacea,0,0,9.328358208955224e-4,0.002798507462686567,0,0,0,0,0,0.0046641791044776115,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,9.328358208955224e-4,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0.0018656716417910447,0.0018656716417910447,0.007462686567164179,0,9.328358208955224e-4,0.002798507462686567,0.002798507462686567,0.0018656716417910447,0.0065298507462686565,0,0,0,0,0,0,0,0,0,0.002798507462686567,0,0,0,9.328358208955224e-4
Myrsine umbellata,9.328358208955224e-4,0,0,0.009328358208955223,0,0,0.0018656716417910447,0,0,0.0065298507462686565,0,0.0046641791044776115,0.0018656716417910447,0,0,0,0,0.0018656716417910447,0,0,9.328358208955224e-4,9.328358208955224e-4,0.011194029850746268,0.007462686567164179,0.0037313432835820895,0,0.0046641791044776115,0,0,0,0,0,0.002798507462686567,0,0,0.002798507462686567,0,0.0046641791044776115,0,0.002798507462686567,9.328358208955224e-4,0.002798507462686567,0.0037313432835820895,0.0037313432835820895,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0.0037313432835820895,0,0.010261194029850746,0
Phoenix sylvestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0.0046641791044776115,0,0,0.0018656716417910447,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0
Psidium guajava,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychotria gracilenta,0,0,0,0,0,0,0.007462686567164179,0,0,0,0,0,0,0,0,0,0.0046641791044776115,0,0,0.011194029850746268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065298507462686565,0,0.005597014925373134,0,0.002798507462686567,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapindaceae sp,0,0.0018656716417910447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schinus terebinthifolius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,9.328358208955224e-4,0,0,0,0,9.328358208955224e-4,9.328358208955224e-4,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0
Smilax sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018656716417910447,0,0,0,0,0,0,0
Solanum sp,0,0,0,0.002798507462686567,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,9.328358208955224e-4,0,0,0,0,0,0,0,9.328358208955224e-4,0,0.0018656716417910447,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0
