sp,Turdus.iliacus,Turdus.merula,Turdus.philomelos,Turdus.pilaris,Turdus.torquatus,Turdus.viscivorus
Corema.album,0,0.002277904328018223,0,0,0,0
Juniperus.phoenicea,0.17539863325740318,0.1548974943052392,0.6082004555808656,0.004555808656036446,0.002277904328018223,0.011389521640091117
Osyris.quadripartita,0.002277904328018223,0.00683371298405467,0.022779043280182234,0,0,0
Phillyrea angustifolia,0,0.00683371298405467,0,0,0,0
Rhamnus.lycioides,0,0.002277904328018223,0,0,0,0
