sp,Commonbulbul,Violet.backedstarling,Yellowwhite.eye,Bluemonkey,BlackandWhite_SasquedHornbill,Yellow.whiskered_greenbul,Olivaceouswarbler,Yellow.spottedbarbet,Joyfulgreenbul,Red.tailedmonkey,Grey.throatedbarbet,Willowwarbler,Africanthrush,Slender.billedgreenbul,Colobusmonkey,Yellow.frontedcanary,Littlegreenbul,Africancitril,Vieillot.s.blackweaver,Yellow.rumpedtinkerbird,Hairy.breastedbarbet,Ansorgesgreenbul,Yellow.billedbarbet,Shelley.sgreenbul,Stuhlmann.sstarling,CameroonSombreFreen,Ross.sturaco,Cabanis.sgreenbul,Honeyguidegreenbul,LittleGreyGreenbul,Olivethrush,AfricanBlueFlycatcher,Baglafechtweaver,Brown.cappedweaver,Blackcap,Black.neckedweaver,NorthernBlackflycatcher,Compactweaver
Prunus_africana,0.019143117593436645,0.097538742023701,0,0.0018231540565177757,0.06289881494986327,0,0.010938924339106655,0,0.007292616226071103,0.02187784867821331,0,0.0027347310847766638,0.0036463081130355514,9.115770282588879e-4,0.019143117593436645,0.0018231540565177757,0,0,0,0,0,0,0,0,0,0,0,0,9.115770282588879e-4,0,0.0027347310847766638,0,0,0,0,0,9.115770282588879e-4,0
Polyscias_fulva,0.01731996353691887,0.03463992707383774,0.10027347310847767,0,0,0.006381039197812215,0.0036463081130355514,0,0.0054694621695533276,0,0,0.008204193254329991,0.018231540565177756,0,0,0,0.0054694621695533276,0,0,0,9.115770282588879e-4,0,0,0,0,0,0,9.115770282588879e-4,0,0,0,0,0,0,0,0,0,0
Ficus_thonningii,0.022789425706472195,0.006381039197812215,0,0.02552415679124886,0.03099361896080219,9.115770282588879e-4,9.115770282588879e-4,0.03828623518687329,0.008204193254329991,0.013673655423883319,0,0,0.0027347310847766638,0.007292616226071103,0,0,0,0,0,0,0,0,0,0,0,0.0036463081130355514,0.009115770282588878,0,0,9.115770282588879e-4,0.0018231540565177757,0,0,0.0018231540565177757,0,0,0,0
Bridelia_micrantha,0.049225159525979945,0.04284412032816773,0.018231540565177756,0.0018231540565177757,0,0.006381039197812215,0.0054694621695533276,0,0.0027347310847766638,0,0.0036463081130355514,9.115770282588879e-4,0,0,0,0,0,0,0.013673655423883319,9.115770282588879e-4,0,0,0,0.0018231540565177757,0,9.115770282588879e-4,9.115770282588879e-4,9.115770282588879e-4,0,0,0,0,0,0,0,0,0,0
Antiaris_toxicaria,0.022789425706472195,0,0.006381039197812215,0.0054694621695533276,9.115770282588879e-4,0,0.0036463081130355514,0,0.01731996353691887,9.115770282588879e-4,0.0018231540565177757,0.0036463081130355514,0,0.0027347310847766638,0,0,9.115770282588879e-4,0,0.009115770282588878,0,9.115770282588879e-4,0.0036463081130355514,0,0,0.007292616226071103,0,0,0,0.0018231540565177757,9.115770282588879e-4,0,0,0,0,0,0,0,0
Harungana_madag.,0.011850501367365542,9.115770282588879e-4,0.01731996353691887,0,0.0027347310847766638,0.0018231540565177757,0.013673655423883319,0.0018231540565177757,0.0054694621695533276,0,0,0.0036463081130355514,0.0018231540565177757,0.0018231540565177757,0,0,0,0,0,0,0,0,9.115770282588879e-4,0,0,0,0,0.0036463081130355514,0,9.115770282588879e-4,0,0,0,0,0.0054694621695533276,0,0,0
Ficus_lutea,0.01276207839562443,0,0.0027347310847766638,0,0,0,0.006381039197812215,0.0054694621695533276,0.008204193254329991,0.0018231540565177757,0,0.0027347310847766638,9.115770282588879e-4,0,0,0,9.115770282588879e-4,9.115770282588879e-4,0,0,0.0036463081130355514,0,0,0,0,0,0,0,0,0,0,0.004557885141294439,9.115770282588879e-4,0,0,0.0018231540565177757,0,9.115770282588879e-4
