sp;Turdus.iliacus;Turdus.merula;Turdus.philomelos;Turdus.pilaris;Turdus.torquatus;Turdus.viscivorus
Berberis.vulgaris;3;3;1;0;34;9
Daphne.oleoides;0;0;0;0;0;2
Juniperus.communis;0;0;0;0;2;0
Juniperus.sabina;1;2;0;1;7;18
Rosa.canina;0;0;0;0;3;0
