sp,Coccothraustes_coccothraustes,Erithacus_rubecula,Fringilla_coelebs,Garrulus_glandarius,Hippolais_icterina,Luscinia_luscinia,Poecile_palustris,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Turdus_philomelos
Prunus_padus,0.046267087276550996,0.0010515247108307045,0,0,0,0.005257623554153523,0,0.015772870662460567,0.029442691903259727,0.010515247108307046,0.004206098843322818
Ribes_spicatum,0,0,0,0,0,0.0010515247108307045,0,0.007360672975814932,0,0.017875920084121977,0
Ribes_nigrum,0,0.005257623554153523,0,0,0,0,0,0.017875920084121977,0,0,0
Sorbus_aucuparia,0,0,0,0,0,0,0,0.002103049421661409,0,0.0694006309148265,0
Frangula_alnus,0.002103049421661409,0.011566771819137749,0.0010515247108307045,0,0,0,0.0010515247108307045,0.04311251314405889,0.007360672975814932,0.07991587802313355,0.014721345951629864
Sambucus_nigra,0,0.010515247108307046,0,0,0.006309148264984227,0,0,0.35751840168243953,0.0904311251314406,0.09253417455310199,0.03785488958990536
Crataegus_monogyna,0.0031545741324921135,0.002103049421661409,0,0.0031545741324921135,0,0,0.002103049421661409,0,0,0,0
