sp,Coccothraustes_coccothraustes,Erithacus_rubecula,Ficedula_hypoleuca,Fringilla_coelebs,Garrulus_glandarius,Luscinia_luscinia,Parus_major,Poecile_palustris,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Turdus_philomelos,Turdus_pilaris
Prunus_padus,0.2833714721586575,0.0011441647597254005,3.8138825324180017e-4,0.0011441647597254005,0,0.002288329519450801,0.0015255530129672007,0,0.03546910755148741,0,0.2723112128146453,0.04996186117467582,7.627765064836003e-4
Ribes_spicatum,0,7.627765064836003e-4,0,7.627765064836003e-4,0,0,0,0,0.03051106025934401,0,0.003432494279176201,0,0
Ribes_nigrum,0,0,0,0,0,0,0,0,0.002288329519450801,0,0.0015255530129672007,0,0
Sorbus_aucuparia,0,7.627765064836003e-4,0,0,0,0,0,0,0.002288329519450801,0,0,0,0
Frangula_alnus,7.627765064836003e-4,7.627765064836003e-4,0,0,0,0,3.8138825324180017e-4,0,0.010678871090770405,0,0.003432494279176201,0,0
Sambucus_nigra,0,0.02593440122044241,0,0,0,0,0,0,0.08848207475209764,0.0015255530129672007,0.01792524790236461,0.06674294431731502,0
Viburnum_opulus,0,7.627765064836003e-4,0,0,0,0,3.8138825324180017e-4,0,0.008390541571319604,0,0.002669717772692601,0.005339435545385202,0
Crataegus_monogyna,0.004195270785659802,0.0015255530129672007,0,0,0.002669717772692601,0,0,0.0015255530129672007,0.004195270785659802,0,0.05148741418764302,0.0011441647597254005,0
Euonymus_europaeus,0,0.006864988558352402,0,0,0,0,0,0,0,0,0,0.0015255530129672007,0
