sp;Catharus_ustulatus;Machaeropterus_regulus;Manacus_manacus;Pipra_coronata;Pipra_pipra;Tachyphonus_urinamus;Tangara_schrankii;Artibeus_gnomus;Artibeus_jamaicensis;Artibeus_lituratus;Artibeus_obscurus;Carollia_brevicauda;Carollia_castanea;Carollia_perspicillata;Phyllostomus_hastatus;Rhinophylla_pumilio;Sturnira_lilium_;Uroderma_bilobatum
Gurania_acuminata;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0
Amaranthaceae_sp.1;0;0;0;0;0;0;0;0;0;0;0;1;1;9;0;1;0;0
Solanum_jamiacense;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Physalis_sp.1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Thoracocarpus_bissectus;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Ficus_sp.9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Cactaceae_sp.1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Curcurbitaceae_sp.1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
 Piper_sp.1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Ficus_sp.42;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Passifloraceae_sp.1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Gesneriaceae_sp.1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Unk_sp.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Marcgravia_sp.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
