sp,Dendrocopos_major,Erithacus_rubecula,Fringilla_coelebs,Parus_major,Poecile_palustris,Sitta_europaea,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Turdus_philomelos
Prunus_padus,0.004,0.008,0.0026666666666666666,0.0026666666666666666,0,0.0026666666666666666,0.10266666666666667,0.0026666666666666666,0.43733333333333335,0.010666666666666666
Ribes_nigrum,0,0,0,0,0,0,0.017333333333333333,0,0,0
Sorbus_aucuparia,0,0.0026666666666666666,0,0,0.0013333333333333333,0,0.0026666666666666666,0,0.03333333333333333,0
Frangula_alnus,0,0.032,0,0.0013333333333333333,0.0026666666666666666,0.030666666666666665,0.21866666666666668,0.008,0.017333333333333333,0.009333333333333334
Euonymus_verrucosus,0,0.0013333333333333333,0,0,0,0,0,0,0,0
Rhamnus_cathartica,0,0,0,0,0.0026666666666666666,0,0.028,0,0.012,0
Viburnum_opulus,0,0.0026666666666666666,0,0,0.0013333333333333333,0,0,0,0,0
Euonymus_europaeus,0,0,0,0.0013333333333333333,0,0,0,0,0,0
