sp,Coccothraustes_coccothraustes,Erithacus_rubecula,Ficedula_hypoleuca,Muscicapa_striata,Parus_major,Poecile_palustris,Sylvia_atricapilla,Turdus_merula,Turdus_philomelos,Apodemus_flavicollis,Dryocopus_martius
Prunus_padus,0.125,0.019230769230769232,0.019230769230769232,0,0.014423076923076924,0.004807692307692308,0.21153846153846154,0.02403846153846154,0.0673076923076923,0,0
Ribes_spicatum,0,0.004807692307692308,0,0,0.014423076923076924,0,0.014423076923076924,0,0,0.009615384615384616,0
Rubus_idaeus,0,0,0,0,0,0,0,0.004807692307692308,0,0,0
Ribes_nigrum,0,0.004807692307692308,0,0,0,0,0.04807692307692308,0,0,0,0
Lonicera_xylosteum,0,0.014423076923076924,0,0,0,0,0.04326923076923077,0.019230769230769232,0.004807692307692308,0,0
Ribes_alpinum,0,0.057692307692307696,0,0,0,0,0.019230769230769232,0,0,0,0
Sorbus_aucuparia,0,0.014423076923076924,0,0,0,0.004807692307692308,0.019230769230769232,0.0625,0.004807692307692308,0,0.004807692307692308
Frangula_alnus,0.004807692307692308,0.028846153846153848,0,0.009615384615384616,0,0.004807692307692308,0.09134615384615384,0,0.004807692307692308,0,0
