sp,Coccothraustes_coccothraustes,Dendrocopos_medius,Erithacus_rubecula,Ficedula_hypoleuca,Fringilla_coelebs,Garrulus_glandarius,Parus_major,Poecile_montanus,Poecile_palustris,Pyrrhula_pyrrhula,Sitta_europaea,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Turdus_philomelos
Prunus_padus,0,0,0.006097560975609756,0.0020325203252032522,0.0020325203252032522,0.0040650406504065045,0.0020325203252032522,0.0020325203252032522,0,0,0.008130081300813009,0.0020325203252032522,0,0.008130081300813009,0.0040650406504065045
Ribes_spicatum,0,0,0,0,0.0020325203252032522,0.0020325203252032522,0.008130081300813009,0,0,0,0.0020325203252032522,0.008130081300813009,0.0020325203252032522,0.0040650406504065045,0.0040650406504065045
Ribes_nigrum,0,0,0.01016260162601626,0,0,0,0,0,0,0,0,0.018292682926829267,0,0.006097560975609756,0
Sorbus_aucuparia,0,0.008130081300813009,0.008130081300813009,0.0040650406504065045,0,0.0020325203252032522,0,0.012195121951219513,0,0,0,0.03861788617886179,0,0.31097560975609756,0.046747967479674794
Frangula_alnus,0.0020325203252032522,0,0.024390243902439025,0,0.0020325203252032522,0,0,0,0,0.0020325203252032522,0.006097560975609756,0.21747967479674796,0,0.03048780487804878,0.01016260162601626
Rhamnus_cathartica,0,0,0.006097560975609756,0,0,0,0.006097560975609756,0.006097560975609756,0.0020325203252032522,0,0.0040650406504065045,0.018292682926829267,0.0020325203252032522,0.0040650406504065045,0.008130081300813009
Viburnum_opulus,0,0,0.006097560975609756,0,0,0,0.006097560975609756,0.0020325203252032522,0.008130081300813009,0,0,0.014227642276422764,0.0040650406504065045,0.0040650406504065045,0.0040650406504065045
Euonymus_europaeus,0,0,0.052845528455284556,0,0,0,0.0040650406504065045,0.0040650406504065045,0,0,0,0,0,0,0
