sp,Coccothraustes_coccothraustes,Dendrocopos_major,Erithacus_rubecula,Ficedula_hypoleuca,Ficedula_parva,Fringilla_coelebs,Garrulus_glandarius,Luscinia_luscinia,Muscicapa_striata,Parus_major,Phylloscopus_trochilus,Poecile_palustris,Pyrrhula_pyrrhula,Sitta_europaea,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Turdus_philomelos,Apodemus_flavicollis
Prunus_padus,0.04382227632379793,0,0.0018259281801582471,0,0,6.086427267194157e-4,0,0.0012172854534388314,0.0036518563603164943,0.0018259281801582471,0,0.0012172854534388314,0,0,0.021911138161898967,6.086427267194157e-4,0.07486305538648813,0.021911138161898967,0
Ribes_spicatum,0,0,0.0030432136335970784,0,0,0,0,6.086427267194157e-4,0,0,0,0,0,0,0.010346926354230066,6.086427267194157e-4,0.009129640900791236,0.005477784540474742,0.0012172854534388314
Ribes_nigrum,0,0,6.086427267194157e-4,0,0,0,0,0,0,0,0,0,0,0,0.06086427267194157,0.0012172854534388314,0,0.0012172854534388314,0
Sorbus_aucuparia,0,0.0012172854534388314,0.0030432136335970784,6.086427267194157e-4,0,0,0,0,0,0,0,0,0.00426049908703591,0,0.0012172854534388314,0,0.006086427267194157,0.0012172854534388314,0
Cornus_sanguinea,0,0,0.036518563603164945,0,0,0,0,0,0,0,0,0,0,0,0.04625684723067559,0,0.01399878271454656,0.017650639074863056,0
Rhamnus_cathartica,0,0,0.006695069993913573,0,0,0,0,0,0,0.0036518563603164943,0.0030432136335970784,0.0030432136335970784,0,6.086427267194157e-4,0.3189287888009738,0.01399878271454656,0.012172854534388313,0.011564211807668898,0
Viburnum_opulus,0,0,0.007912355447352405,0,0,0,6.086427267194157e-4,0,0,0.0018259281801582471,0,6.086427267194157e-4,0,0,0.035909920876445525,0.0012172854534388314,6.086427267194157e-4,0.02678027997565429,0
Euonymus_europaeus,0,0,0.12172854534388314,0,0.0030432136335970784,0,0,0,0,0.002434570906877663,0,0.010955569080949483,0,0,0.010955569080949483,0,0.0018259281801582471,0,0
