sp,Dendrocopos_major,Erithacus_rubecula,Fringilla_coelebs,Garrulus_glandarius,Hippolais_icterina,Parus_major,Poecile_palustris,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Turdus_philomelos,Muscardinus_avellanarius
Prunus_padus,0.0049586776859504135,0,0.003305785123966942,0,0,0.001652892561983471,0.001652892561983471,0.04297520661157025,0,0.03305785123966942,0.006611570247933884,0
Ribes_spicatum,0.01487603305785124,0,0,0.001652892561983471,0,0.0049586776859504135,0,0.024793388429752067,0.003305785123966942,0.05619834710743802,0.01487603305785124,0.01652892561983471
Sorbus_aucuparia,0,0,0,0,0,0,0,0.013223140495867768,0,0.12892561983471074,0.01652892561983471,0
Frangula_alnus,0,0.003305785123966942,0,0,0,0,0,0.07272727272727272,0,0.04297520661157025,0.09256198347107437,0
Euonymus_verrucosus,0,0.009917355371900827,0,0,0,0,0,0.003305785123966942,0,0,0.008264462809917356,0
Rhamnus_cathartica,0,0.001652892561983471,0,0,0,0.001652892561983471,0,0.006611570247933884,0,0,0,0
Viburnum_opulus,0,0.003305785123966942,0,0,0.001652892561983471,0.001652892561983471,0,0.003305785123966942,0,0,0.06611570247933884,0
Euonymus_europaeus,0,0.09586776859504133,0,0,0,0.003305785123966942,0.01487603305785124,0.17355371900826447,0,0,0.003305785123966942,0
