sp,Coccothraustes_coccothraustes,Dendrocopos_major,Erithacus_rubecula,Ficedula_hypoleuca,Fringilla_coelebs,Parus_major,Poecile_palustris,Sitta_europaea,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Turdus_philomelos,Apodemus_flavicollis
Prunus_padus,0,0,0.030612244897959183,0.003401360544217687,0.003401360544217687,0.006802721088435374,0.003401360544217687,0,0.12244897959183673,0.013605442176870748,0.034013605442176874,0,0
Ribes_spicatum,0,0.01020408163265306,0.003401360544217687,0,0,0,0,0,0.04421768707482993,0,0.04421768707482993,0,0.003401360544217687
Rubus_idaeus,0,0.006802721088435374,0,0,0,0,0,0,0.003401360544217687,0,0.006802721088435374,0,0
Ribes_nigrum,0,0,0.006802721088435374,0,0,0,0,0,0.02040816326530612,0,0,0,0
Sorbus_aucuparia,0,0,0.006802721088435374,0,0,0,0,0,0.02040816326530612,0,0.1836734693877551,0,0
Frangula_alnus,0,0,0.047619047619047616,0,0,0.006802721088435374,0.003401360544217687,0.017006802721088437,0.13945578231292516,0.030612244897959183,0,0.01020408163265306,0
Sambucus_nigra,0,0,0.006802721088435374,0,0,0,0,0,0,0,0.03741496598639456,0.02040816326530612,0
Crataegus_monogyna,0.023809523809523808,0,0.003401360544217687,0,0,0,0.003401360544217687,0,0.003401360544217687,0,0.06802721088435375,0,0
