sp,Columbina..talpacoti,Zenaida..auriculata,Icterus.cayanensis.pyrrhopterus,Zonotrichia..capensis,Coereba..flaveola,Dacnis..cayana,Nemosia..pileata,Pipraeidea..melanonota,Ramphocelus..carbo,Sporophila..caerulescens,Tachyphonus..coronatus,Tangara.cayana,Thraupis..palmarum,Thraupis..sayaca,Tersina..viridis,Turdus..amaurochalinus,Turdus..leucomelas,Turdus..rufiventris,Camptostoma..obsoletum,Elaenia..flavogaster,Elaenia..sp,Megarynchus..pitangua,Myiarchus..tyrannulus,Myiozetetes..similis,Pitangus..sulphuratus,Serpophaga..subcristata,Tyrannus..melancholicus,Cyclarhis..gujanensis
Cecropia pachystachya,0,0,0,0,0,0,0,0,0.01775147928994083,0,0,0,0.005917159763313609,0.04142011834319527,0.005917159763313609,0,0.005917159763313609,0,0,0,0,0,0,0.005917159763313609,0,0,0,0
Eugenia  uniflora,0,0,0,0,0,0,0,0,0.011834319526627219,0,0,0,0,0.03550295857988166,0,0.005917159763313609,0.01775147928994083,0,0,0,0,0,0,0,0,0,0,0
Ficus  insipida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005917159763313609,0,0,0,0,0,0,0,0,0.011834319526627219,0,0,0
Schinus terebinthifolius,0,0,0,0,0,0,0,0,0.01775147928994083,0,0,0.005917159763313609,0,0.03550295857988166,0,0.005917159763313609,0.047337278106508875,0.005917159763313609,0,0,0.005917159763313609,0,0,0.08284023668639054,0.005917159763313609,0,0,0
Solanum  mauritianum,0,0,0,0,0,0,0.005917159763313609,0.005917159763313609,0.029585798816568046,0,0.011834319526627219,0,0,0.029585798816568046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trema  micrantha,0.011834319526627219,0.005917159763313609,0.005917159763313609,0.03550295857988166,0.029585798816568046,0.03550295857988166,0.005917159763313609,0,0.011834319526627219,0.005917159763313609,0.011834319526627219,0,0.005917159763313609,0.07100591715976332,0,0.011834319526627219,0.03550295857988166,0,0.011834319526627219,0.011834319526627219,0.029585798816568046,0.005917159763313609,0.011834319526627219,0.023668639053254437,0.05325443786982249,0.01775147928994083,0.07100591715976332,0.011834319526627219
