sp,Pycnonotus.barbatus,Cercopithecus.mitis,Sylvia.atricapilla,Cercopithecus.ascanius,Cinnyricinclus.leucogaster,Phylloscopus.trochilus,Turdus.pelios,Andropadus.latirostris,Zosterops.senegalensis,Ceratogymna.subcylindrica,Buccanodon.duchaillui,Colobus.guereza,Pogoniulus.bilineatus,Chlorocichla.laetissima,Gymnobucco.bonapartei,Andropadus.masukuensis,Ploceus.bicolor,Phyllastrephus.hypochloris,Andropadus.curvirostris,Heliosciurus.rufobrachium,Melaniparus.funereus,Phylloscopus.budongoensis,Phyllastrephus.cabanisi,Trachyphonus.purpuratus,Andropadus.gracilirostris,Serinus.citrinelloides,Apalis.rufogularis,Baeopogon.indicator,Hippolais.pallida,Andropadus.virens,Serinus.mozambicus,Colius.striatus,Musophaga.rossae,Nigrita.canicapillus,Papio.anubis,Turtur.tympanistria,Tricholaema.hirsuta,Bleda.syndactylus,Oriolus.brachyrhynchus,Phylloscopus.sibilatrix,Treron.calvus,Turdus.olivaceus,Cuculus.clamosus,Ploceus.nigerrimus,Sylvia.borin,Alethe.poliocephala,Eremomela.turneri,Andropadus.ansorgei,Estrilda.nonnula,Nigrita.fusconotus,Elminia.longicauda,Platysteira.castanea,Platysteira.cyanea,Ploceus.insignis,Ploceus.melanocephalus,Ploceus.ocularis,Turdoides.sharpei,Anthoscopus.caroli,Bathmocercus.rufus,Centropus.monachus,Chalcomitra.senegalensis,Columba.larvata,Cossypha.polioptera,Laniarius.luehderi,Lybius.bidentatus,Melaniparus.albiventris,Phoenicurus.phoenicurus,Ploceus.baglafecht,Ploceus.nigricollis,Schistolais.leucopogon,Serinus.dorsostriatus,Spermophaga.ruficapilla,Terpsiphone.viridis,Tockus.alboterminatus,Campephaga.flava,Chalcomitra.amethystina,Chlorocichla.flavicollis,Cossypha.heuglini,Cossypha.niveicapilla,Cyanomitra.olivacea,Cyanomitra.verticalis,Dicrurus.adsimilis,Hylia.prasina,Malimbus.rubricollis,Oriolus.auratus,Prinia.bairdii,Prodotiscus.insignis,Sylvia.communis
Polyscias fulva,0.012184508268059183,2.901073397156948e-4,0.004641717435451117,0,0,0.0011604293588627793,0,8.703220191470844e-4,0.0017406440382941688,0,2.901073397156948e-4,0,5.802146794313896e-4,8.703220191470844e-4,0,0,2.901073397156948e-4,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,2.901073397156948e-4,5.802146794313896e-4,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyphostemma cyphopetalum,0.0026109660574412533,0,0.0026109660574412533,0,0,0,5.802146794313896e-4,2.901073397156948e-4,0.002901073397156948,0,2.901073397156948e-4,0,0.0020307513780098638,0.0026109660574412533,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casearia battiscombei,5.802146794313896e-4,0.001450536698578474,2.901073397156948e-4,2.901073397156948e-4,0,5.802146794313896e-4,0,0,0,0,0,0,0.006962576153176675,5.802146794313896e-4,0,0,0,0,0,0,2.901073397156948e-4,2.901073397156948e-4,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0.001450536698578474,0,0,0.0017406440382941688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Harungana madagascariensis,5.802146794313896e-4,0,0.003191180736872643,0,0,0,0.0011604293588627793,0.0017406440382941688,8.703220191470844e-4,0,0,0,0.0023208587177255585,0.0017406440382941688,0,0,0,8.703220191470844e-4,2.901073397156948e-4,0,0,0,0,0,0,0,2.901073397156948e-4,0,2.901073397156948e-4,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lantana camara,0.0020307513780098638,0,0.0037713954163040323,2.901073397156948e-4,0,0,0,0,0.0011604293588627793,0,2.901073397156948e-4,0,8.703220191470844e-4,5.802146794313896e-4,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,2.901073397156948e-4,0,0,0,5.802146794313896e-4,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,2.901073397156948e-4,0,2.901073397156948e-4,0,0,0,0
Solanum mauritianum,0,0,0.0017406440382941688,0,0,0.0017406440382941688,0,0,0.001450536698578474,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0.0020307513780098638,5.802146794313896e-4,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4
Jasminum fluminense,5.802146794313896e-4,0,0.003191180736872643,0,0,0,0,5.802146794313896e-4,0,0,2.901073397156948e-4,0,0.0017406440382941688,5.802146794313896e-4,0,0,0,8.703220191470844e-4,0,2.901073397156948e-4,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,5.802146794313896e-4,8.703220191470844e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carissa edulis,0.0023208587177255585,0,5.802146794313896e-4,0,0,0,0.0011604293588627793,8.703220191470844e-4,0,0,2.901073397156948e-4,0,0.0017406440382941688,8.703220191470844e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,2.901073397156948e-4,0,0,0,0,8.703220191470844e-4,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cissus oliveri,8.703220191470844e-4,0,5.802146794313896e-4,0,0,0,0,8.703220191470844e-4,0.0011604293588627793,0,0,0,5.802146794313896e-4,5.802146794313896e-4,0,2.901073397156948e-4,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.802146794313896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maesa lanceolata,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,2.901073397156948e-4,0,0.0023208587177255585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.901073397156948e-4,0,0,0,0,0,0,0,0
