sp,Catharus_ustulatus,Machaeropterus_regulus,Manacus_manacus,Pipra_coronata,Pipra_pipra,Tachyphonus_urinamus,Tangara_schrankii,Artibeus_gnomus,Artibeus_jamaicensis,Artibeus_lituratus,Artibeus_obscurus,Carollia_brevicauda,Carollia_castanea,Carollia_perspicillata,Phyllostomus_hastatus,Rhinophylla_pumilio,Sturnira_lilium_,Uroderma_bilobatum
Ficus_sp.2,0,0,0,0,0,0,0,0,0.0036133694670280035,0.0018066847335140017,0.0018066847335140017,0.0018066847335140017,0.0018066847335140017,0.0027100271002710027,0,0,0,0.0036133694670280035
Ficus_sp.3,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0,0,0,0,9.033423667570009e-4,0,0,0.0018066847335140017
Vismia_angusta,0,0,0,0,0,0,0,0.0027100271002710027,0.0027100271002710027,0.0018066847335140017,0,0.07226738934056007,0.008130081300813009,0.13730803974706413,9.033423667570009e-4,0.011743450767841012,0,9.033423667570009e-4
Vismia_macrophylla,0,0,0,0,0,0,0,9.033423667570009e-4,0,9.033423667570009e-4,0,0.00993676603432701,0.0027100271002710027,0.031616982836495035,0,0.0027100271002710027,0,0
Anthurium_sp.1,0,0,0,0,0,0,0,0.0018066847335140017,9.033423667570009e-4,0,0,0.0018066847335140017,9.033423667570009e-4,0.0027100271002710027,9.033423667570009e-4,0,0,0
Philodendron_sp.1,0,0,0,0,0,0,0,0,0,0,0,0.0018066847335140017,0,9.033423667570009e-4,0,0,0,0
Araceae_sp.1,0,0,0,0,0,0,0,0,0,0,0,0.008130081300813009,9.033423667570009e-4,0.0036133694670280035,0,9.033423667570009e-4,0,0
Solanum_lanceolatum,0,0,0,0,0,0,0,0,0,0,0,0.0036133694670280035,9.033423667570009e-4,0.011743450767841012,0,0,0.0018066847335140017,0.0027100271002710027
Solanum_sp.1,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,9.033423667570009e-4,0,0,0.0018066847335140017,0
Guttiferae_sp.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0.01084010840108401,9.033423667570009e-4,0
Passifloracea_sp.1,0,0,0,0,0,0,0,0,0,0,0,0.0018066847335140017,0,0.0036133694670280035,0,0,0,0
Gurania_acuminata,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0,0.0027100271002710027,0,0,0
Amaranthaceae_sp.1,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,9.033423667570009e-4,0.008130081300813009,0,9.033423667570009e-4,0,0
Solanum_jamiacense,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0,0,0,0,0
Physalis_sp.1,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0,0,0,0,0
Thoracocarpus_bissectus,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0,0,0,0,0
Ficus_sp.9,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0,0,0,0,0
Cactaceae_sp.1,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0,0,0,0,0
Curcurbitaceae_sp.1,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0,0,0,0,0
Piper_sp.3,0,0,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0,0,0
Ficus_sp.42,0,0,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0,0,0
Passifloraceae_sp.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0,0,0
Gesneriaceae_sp.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0,0,0
Unk_sp.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018066847335140017,0,0,0
Marcgravia_sp.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.033423667570009e-4,0,0
