sp;Dendrocopos_major;Erithacus_rubecula;Fringilla_coelebs;Garrulus_glandarius;Hippolais_icterina;Parus_major;Poecile_palustris;Sylvia_atricapilla;Sylvia_borin;Turdus_merula;Turdus_philomelos;Muscardinus_avellanarius
Prunus_padus;3;0;2;0;0;1;1;26;0;20;4;0
Ribes_spicatum;9;0;0;1;0;3;0;15;2;34;9;10
Sorbus_aucuparia;0;0;0;0;0;0;0;8;0;78;10;0
Frangula_alnus;0;2;0;0;0;0;0;44;0;26;56;0
Euonymus_verrucosus;0;6;0;0;0;0;0;2;0;0;5;0
Rhamnus_cathartica;0;1;0;0;0;1;0;4;0;0;0;0
Viburnum_opulus;0;2;0;0;1;1;0;2;0;0;40;0
Euonymus_europaeus;0;58;0;0;0;2;9;105;0;0;2;0
