sp,Patagioenas.picazuro,Elaenia.flavogaster,Elaenia.spectabilis,Elaenia.sp,Tolmomyias.sulphurescens,Satrapa.icterophrys,Empidonomus.varius,Myiarchus.ferox,Myiodynastes.maculatus,Myiozetetes.similis,Pitangus.sulphuratus,Tyrannus.melancholicus,Turdus.amaurochalinus,Turdus.leucomelas,Turdus.rufiventris,Cyclarhis.gujanensis,Vireo.olivaceus,Euphonia.chlorotica,Icterus.cayanensis.pyrrhopterus,Conirostrum.speciosum,Coereba.flaveola,Dacnis.cayana,Nemosia.pileata,Ramphocelus.carbo,Tachyphonus.coronatus,Tachyphonus.cristatus,Tangara.cayana,Thlypopsis.sordida,Thraupis.palmarum,Thraupis.sayaca
Melia azedarach,0.0012987012987012987,0.0012987012987012987,0,0.003896103896103896,0,0.0012987012987012987,0,0,0,0.01038961038961039,0.007792207792207792,0,0.015584415584415584,0.025974025974025976,0.003896103896103896,0,0,0.0012987012987012987,0.0012987012987012987,0,0,0,0,0.005194805194805195,0,0,0.033766233766233764,0.0012987012987012987,0,0.15584415584415584
Casearia sylvestris,0,0.007792207792207792,0,0.012987012987012988,0.005194805194805195,0,0,0.014285714285714285,0.0012987012987012987,0.005194805194805195,0,0,0,0.0012987012987012987,0,0.011688311688311689,0.0012987012987012987,0,0,0,0,0.005194805194805195,0.023376623376623377,0.02207792207792208,0.006493506493506494,0,0.006493506493506494,0.0025974025974025974,0,0.011688311688311689
Cecropia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025974025974025974,0,0,0.0012987012987012987,0,0,0.0012987012987012987,0,0.0012987012987012987,0.005194805194805195
Trichilia clausenii,0,0.005194805194805195,0,0.0012987012987012987,0,0,0.006493506493506494,0.015584415584415584,0.02207792207792208,0.02857142857142857,0.0025974025974025974,0.0012987012987012987,0.0012987012987012987,0.011688311688311689,0,0,0.01948051948051948,0,0,0,0.0012987012987012987,0.06103896103896104,0,0.025974025974025976,0.0025974025974025974,0,0.003896103896103896,0.0025974025974025974,0,0.006493506493506494
Syzygium cumini,0,0,0,0,0,0,0,0,0,0,0,0,0.0012987012987012987,0,0,0.0012987012987012987,0,0,0,0,0.005194805194805195,0,0.014285714285714285,0,0.0012987012987012987,0,0,0,0,0.011688311688311689
Plinia cauliflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025974025974025974,0,0,0,0,0.003896103896103896,0,0.025974025974025976,0.0012987012987012987,0.007792207792207792,0.00909090909090909,0.016883116883116882,0,0.0025974025974025974,0,0,0.03636363636363636
Frangula purshiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025974025974025974,0,0.0025974025974025974,0.02727272727272727,0,0,0.05454545454545454
Trema micrantha,0,0,0,0,0.0012987012987012987,0,0,0,0,0.003896103896103896,0,0,0,0,0,0,0,0,0,0,0,0.03116883116883117,0,0,0,0,0.011688311688311689,0,0,0.0012987012987012987
Acnistus arborescens,0,0.0012987012987012987,0.0012987012987012987,0.01038961038961039,0,0,0,0,0,0.0012987012987012987,0,0.0012987012987012987,0.0012987012987012987,0,0,0,0,0,0,0.0012987012987012987,0.003896103896103896,0.0012987012987012987,0,0.016883116883116882,0.014285714285714285,0,0.014285714285714285,0.0012987012987012987,0,0.011688311688311689
