connectance,web asymmetry,links per species,cluster coefficient,NODF,weighted NODF,interaction strength asymmetry,specialisation asymmetry,linkage density,weighted connectance,Shannon diversity,interaction evenness,Alatalo interaction evenness,H2,number.of.species.HL,number.of.species.LL,cluster.coefficient.HL,cluster.coefficient.LL,weighted.cluster.coefficient.HL,weighted.cluster.coefficient.LL,niche.overlap.HL,niche.overlap.LL,extinction.slope.HL,extinction.slope.LL,robustness.HL,robustness.LL,generality.HL,vulnerability.LL,niche.overlap.bray.HL,niche.overlap.bray.LL,niche.overlap.jaccard.HL,niche.overlap.jaccard.LL,M,net_size,net_id,net_n,assortativity,centr_binary,centralization.w,type,net_code,unique.ints,code_ID,ref,country,plant_sp,family,continent,bioregion,plot_rank1,plot_rank2,cols_continent1,cols_continent2,cols_continent_d1,cols_continent_d2,cols_bioregions1,cols_bioregions_d1,cols_bioregions2,cols_bioregions_d2
0.362962962962963,-0.19402985074626866,5.850746268656716,0.225,67.21158391449345,53.054795976095285,0.1150015792530195,1,16.63392106443843,0.2482674785737079,4.862020630312049,0.6960942159251108,0.6295345363029519,0.08726983258476542,27,40,0.9481955866269483,0.43097681752763123,1,0.9668146118984787,0.28150169822018006,0.8958968050613977,11.339967939724982,7.414255329702944,0.8796957738634847,0.8254079629980738,29.151445821667618,4.1163963072092,0.10464413085209054,0.5925293192055934,0.06176283105652019,0.44037675060000814,0.12736338389368232,1080,01_01,1,-0.507102130873284,0.621014712197568,0.877058100797083,ind,ind_01_01,392,01_01,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF
0.209375,-0.42857142857142855,2.392857142857143,0.0625,63.516056166056245,44.151485551485514,0.4973311409807195,-0.4515028710841615,10.64996093281862,0.19017787380033252,3.96638030585766,0.6138512482926033,0.6380578787401749,0.18018971392199712,16,40,0.8669185330144233,0.2473930021019063,0.6926286705516989,0.8086761776088275,0.09325334414776376,0.8592378086511918,2.9026484042030956,2.5987347645361654,0.6778832922473437,0.6919712698775847,18.709408844229,2.59051302140825,0.03776102810542542,0.3924036046078057,0.022248438178109026,0.2753427080633818,0.16390452081591525,640,01_02,2,-0.603362863155699,0.788752876526662,0.919491154933783,ind,ind_01_02,134,01_02,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF
0.3914285714285714,-0.5555555555555556,3.0444444444444443,0.2571428571428571,72.48350449369482,37.738350728754945,1.1944917230063257,-0.8269230560688821,10.990320656519215,0.24422934792264922,3.653736011773913,0.6237244289784136,0.54903855294611,0.17791608484073515,10,35,0.9610722756535564,0.38701696770662286,0.8241937955084007,0.9500581118855383,0.14771050355471807,0.9032445653611543,4.6418063019354046,5.249745501434924,0.7226005132017179,0.7839282216904577,20.212817153171592,1.767824159866835,0.07298344904478754,0.4458125505423229,0.04183463433268617,0.3194789541479729,0.09040127509535943,350,02_01,3,-0.737422844660921,0.712237760985432,0.92844923177406,ind,ind_02_01,137,02_01,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF
0.44,-0.5555555555555556,3.422222222222222,0.2714285714285714,71.68956116221747,38.51103670634923,0.6047435841564887,0.0522548140375723,13.940699017903412,0.3097933115089647,4.1713243596668255,0.7120812494205808,0.6632520715965439,0.13305220674102497,10,35,0.9495591870896501,0.4480171331511706,0.9325802233643484,0.961360425364291,0.2215344401361489,0.9060923166565252,5.175583722301514,6.6228532121752854,0.7352939103083032,0.8035603287253427,25.501566312775196,2.379831723031623,0.09792473242804618,0.5419888251348206,0.05846664734885737,0.4032043637320327,0.11088458000705916,350,02_02,4,-0.729744516672881,0.682195018651627,0.897034533625794,ind,ind_02_02,154,02_02,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF
0.38441558441558443,-0.5217391304347826,3.217391304347826,0.17142857142857143,74.34611314611318,41.0126133126133,0.44234625021346147,-0.7645956321138644,13.173851137522643,0.28638806820701396,4.298202033380609,0.7219933390972039,0.6502578844632851,0.2267000338592022,11,35,0.8898620994258232,0.4216732769120264,0.8748444148596863,0.9671022239410632,0.1888144207949192,0.8430283550640161,4.179735973242895,7.811780178978178,0.7138659229551887,0.8460725574492062,23.61240813554508,2.7352941395002,0.11689444374260421,0.5085544861396711,0.06721855550623816,0.36587822464443387,0.16889599985650092,385,02_03,5,-0.654046927431325,0.70504689786652,0.896165171663804,ind,ind_02_03,148,02_03,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF
0.2846153846153846,-0.13043478260869565,1.608695652173913,0.19230769230769232,42.77003484320557,18.950832365466514,0.20058044026819596,-0.2282792575583525,3.9288518923827156,0.17081964749490067,3.2323744801881453,0.6640681258836509,0.7120396486854427,0.49650371114598113,10,13,0.5728937728937729,0.28666666666666674,0.3804365041654776,0.5767548427410919,0.1520518592688084,0.4520092682008653,2.9737542850377507,2.2460786451355395,0.644102480435353,0.6088513280517998,5.2183760717937595,2.639327712971672,0.12715014506680347,0.2842426718651759,0.08507763239333273,0.17951849673181838,0.39720836482741234,130,03_01,6,-0.464465988302219,0.697649942303007,0.859374229511216,ind,ind_03_01,37,03_01,Vergara-Tabares et al 2022 Oikos,Argentina,Lithraea molleoides,Anacardiaceae,America,Temperate,21,10,#90CAF9,#80CBC4,#42A5F5FF,#26A69AFF,#FFE082,#FFCA28FF,#FFE082,#FFCA28FF
0.2357142857142857,-0.16666666666666666,1.375,0.21428571428571427,27.02205882352942,16.299019607843135,0.10010827158898068,-0.014561131034139883,3.221341157066754,0.13422254821111476,3.1666682666075348,0.6408129111323799,0.709484870853714,0.5823621824887899,10,14,0.3553571428571429,0.27678571428571436,0.20982670342654583,0.373989851531667,0.13023567728047575,0.26112367951310694,2.413758986568081,2.8344825426932476,0.6052477058511205,0.6598022591460362,4.022188232059511,2.4204940820739966,0.09790261194396925,0.16234211740183194,0.057389797621309455,0.10005066780876846,0.43609693877551026,140,03_02,7,-0.241397753610269,0.747594059792847,0.914933913877359,ind,ind_03_02,33,03_02,Vergara-Tabares et al 2022 Oikos,Argentina,Lithraea molleoides,Anacardiaceae,America,Temperate,21,10,#90CAF9,#80CBC4,#42A5F5FF,#26A69AFF,#FFE082,#FFCA28FF,#FFE082,#FFCA28FF
0.25274725274725274,-0.037037037037037035,1.7037037037037037,0.14285714285714285,33.836291913214986,14.77317554240631,0.06344489685847184,0.10239657255168147,3.5360472315091047,0.130964712278115,3.413105863086213,0.6558611601253398,0.7104292296917235,0.5367825300502881,13,14,0.4302117506710409,0.29259675606230934,0.5526441162458329,0.6193619361936196,0.10910678957162302,0.23175617487940647,3.3939163725391297,2.5993817342496586,0.69103288350126,0.6412665010936144,4.176055735236111,2.896038727782097,0.07427122635549788,0.16837777212081376,0.0430746801184098,0.10025389829082126,0.5059470626435555,182,03_03,8,-0.10016768158150301,0.645827828666319,0.826521992539227,ind,ind_03_03,46,03_03,Vergara-Tabares et al 2022 Oikos,Argentina,Lithraea molleoides,Anacardiaceae,America,Temperate,21,10,#90CAF9,#80CBC4,#42A5F5FF,#26A69AFF,#FFE082,#FFCA28FF,#FFE082,#FFCA28FF
0.26282051282051283,-0.04,1.64,0.15384615384615385,42.447916666666664,21.643518518518512,0.1471010930065338,0.15609220556052547,4.328150986648922,0.17312603946595687,3.3858610865919854,0.6704866597644106,0.7399418894893367,0.4513771729047987,12,13,0.5623239958500073,0.29030186255619783,0.4342591131450217,0.49524328249818533,0.14259964259678828,0.4066990526740276,3.102541694500994,2.390872734796099,0.66834080669709806,0.6224822491384675,5.714897898204453,2.941404075093391,0.09116536940617742,0.28752529958230083,0.05525292993652629,0.18341855126055676,0.37208059073139754,156,03_04,9,-0.295930462267879,0.702534822137274,0.840688400867116,ind,ind_03_04,41,03_04,Vergara-Tabares et al 2022 Oikos,Argentina,Lithraea molleoides,Anacardiaceae,America,Temperate,21,10,#90CAF9,#80CBC4,#42A5F5FF,#26A69AFF,#FFE082,#FFCA28FF,#FFE082,#FFCA28FF
0.2196969696969697,-0.043478260869565216,1.2608695652173914,0.16666666666666666,32.24517906336088,14.614325068870523,-0.016524445008051347,0.2715895552916554,3.049733746639509,0.1325971194191091,3.0617916886600587,0.6270562962009851,0.7523181439315583,0.6138549232096019,11,12,0.32918050941306753,0.35064935064935066,0.2866002214839422,0.2464670658682635,0.18407760758540576,0.1749375721575899,1.9228322898047108,2.181311393760952,0.5644786049851176,0.5972784520074355,2.8778766668953413,3.2215908263836766,0.1280574688581081,0.11982394873064557,0.08052605850746573,0.07717999321994023,0.49848235670687974,132,03_05,10,-0.107443365695794,0.712671294303791,0.905228306214964,ind,ind_03_05,29,03_05,Vergara-Tabares et al 2022 Oikos,Argentina,Lithraea molleoides,Anacardiaceae,America,Temperate,21,10,#90CAF9,#80CBC4,#42A5F5FF,#26A69AFF,#FFE082,#FFCA28FF,#FFE082,#FFCA28FF
