net_id,t,Method,Order.q,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL,type,net_code,unique.ints,ref,country,plant_sp,family,continent,bioregion,plot_rank1,plot_rank2,cols_continent1,cols_continent2,cols_continent_d1,cols_continent_d2,cols_bioregions1,cols_bioregions_d1,cols_bioregions2,cols_bioregions_d2,cols_country,cols_magma,cols_viridis
06_03,30,Observed,0,8,6.161390807645402,9.838609192354598,0.9625806451612904,0.9183990245180439,1,ind,ind_06_03,50,Friedemann et al 2022 Oikos,Brazil,Euterpe edulis,Arecaceae,America,Tropical,24,17,#39A1F4,#1CA295,#42A5F5FF,#26A69AFF,#B257C2,#AB47BCFF,#EA6361,#EF5350FF,#CE647F,#FEA973FF,#87D549FF
07_01,27,Observed,0,37,31.803247217668748,42.19675278233125,0.8843690702087287,0.8325777455500107,0.9361603948674466,ind,ind_07_01,124,Cecropia Frugivory course,Brazil,Cecropia glaziovii,Urticaceae,America,Tropical,23,15,#53ADF5,#39AEA3,#42A5F5FF,#26A69AFF,#BF72CC,#AB47BCFF,#E77C7C,#EF5350FF,#DD788B,#FD9969FF,#71CF57FF
08_02,24,Observed,0,11,8.88645609730109,13.11354390269891,0.9631410256410257,0.9045610305343775,1,ind,ind_08_02,48,Gopal et al 2020 Biotropica,India,Heynea trijuga,Meliaceae,Asia,Tropical,15,21,#9C27B0,#6237B3,#AB47BCFF,#7E57C2FF,#9C27B0,#AB47BCFF,#F44336,#EF5350FF,#5B9DAF,#B63679FF,#21908CFF
08_03,25,Observed,0,7,5.284931518280205,8.715068481719795,0.9794871794871794,0.9349228587470697,1,ind,ind_08_03,44.99999999999999,Gopal et al 2020 Biotropica,India,Myristica dactyloides,Myristicaceae,Asia,Tropical,16,24,#9325AC,#5B33AF,#AB47BCFF,#7E57C2FF,#8B23A9,#AB47BCFF,#E23734,#EF5350FF,#4F90A6,#C53C75FF,#1F998AFF
08_04,32,Observed,0,21,17.31001197950577,24.68998802049423,0.9788359788359788,0.9592944670356776,0.9983774906362801,ind,ind_08_04,186,Gopal et al 2020 Biotropica,India,Persea macrantha,Lauraceae,Asia,Tropical,18,26,#7E20A3,#4929A3,#AB47BCFF,#7E57C2FF,#7D1FA3,#AB47BCFF,#D5302F,#EF5350FF,#3B738F,#E04C67FF,#24AA83FF
09_01,18,Observed,0,22,16.44847090086007,27.55152909913993,0.8716399879190577,0.7942762298832955,0.94900374595482,ind,ind_09_01,77,Crestani et al 2018 Acta Oecologica,Brazil,Henriettea succosa,Melastomataceae,America,Tropical,25,20,#2196F3,#009688,#42A5F5FF,#26A69AFF,#A133B4,#AB47BCFF,#F2493F,#EF5350FF,#BC5374,#FEBA80FF,#9FDA3AFF
10_01,31,Observed,0,9,7.581113813401908,10.418886186598092,0.98125,0.9640258184083699,0.99847418159163,ind,ind_10_01,100,Lamperty et al 2021 Biotropica,Ecuador,Prestoea decurrens,Arecaceae,America,Tropical,28,27,#1871CD,#007567,#42A5F5FF,#26A69AFF,#761EA0,#AB47BCFF,#CF2D2D,#EF5350FF,#7D2A50,#FCECAEFF,#E7E419FF
11_01,24,Observed,0,15,12.129267492926111,17.87073250707389,0.9773992793973141,0.9526860998794064,1,ind,ind_11_01,129,Corema album - unpublished,Spain,Corema album,Ericaceae,Europe,Mediterranean,2,2,#FFD75B,#FFD75B,#FFCA28FF,#FFCA28FF,#6FBAF6,#42A5F5FF,#6FBAF6,#42A5F5FF,#f3ad6a,#040414FF,#470E61FF
12_02,15,Observed,0,11,8.5243007559526,13.4756992440474,0.938953488372093,0.8703592364234983,1,ind,ind_12_02,43,Ramaswami et al 2017 Plant Ecology,India,Bursera penicillata,Burseraceae,Asia,Tropical,10,13,#CE93D8,#B39DDB,#AB47BCFF,#7E57C2FF,#CE93D8,#AB47BCFF,#EF9A9A,#EF5350FF,#A8DBD9,#6D1D81FF,#32658EFF
12_03,12,Observed,0,6,4.549961819144368,7.450038180855632,0.9708222811671088,0.9165448643327705,1,ind,ind_12_03,29,Ramaswami et al 2017 Plant Ecology,India,Erythroxylum monogynum,Erythroxylaceae,Asia,Tropical,12,16,#B761C5,#8B69C8,#AB47BCFF,#7E57C2FF,#B863C6,#AB47BCFF,#E66F6E,#EF5350FF,#85C4C9,#892881FF,#2A768EFF
12_04,13,Observed,0,5,4.0764413107811315,5.9235586892188685,1,0.972654537072624,1,ind,ind_12_04,33,Ramaswami et al 2017 Plant Ecology,India,Flacourtia indica,Salicaceae,Asia,Tropical,13,18,#AD4DBE,#7B54C0,#AB47BCFF,#7E57C2FF,#AC4BBD,#AB47BCFF,#ED5754,#EF5350FF,#76B7C0,#982D80FF,#277F8EFF
12_05,10,Observed,0,8,5.48658800988137,10.51341199011863,0.8363636363636364,0.6975209599219616,0.9752063128053112,ind,ind_12_05,22,Ramaswami et al 2017 Plant Ecology,India,Flueggea leucopyrus,Phyllanthaceae,Asia,Tropical,14,19,#A43AB7,#6B3FB9,#AB47BCFF,#7E57C2FF,#A73FB9,#AB47BCFF,#F04F49,#EF5350FF,#68ABB8,#A7317DFF,#24878EFF
12_08,10,Observed,0,8,5.311757747145483,10.688242252854517,0.906896551724138,0.8102595206331555,1,ind,ind_12_08,30,Ramaswami et al 2017 Plant Ecology,India,Canthium coromandelicum,Rubiaceae,Asia,Tropical,11,14,#C279CE,#9E81D1,#AB47BCFF,#7E57C2FF,#C682D2,#AB47BCFF,#EB8B8B,#EF5350FF,#96CFD1,#7B2382FF,#2E6E8EFF
12_09,14,Observed,0,10,6.813466644511809,13.18653335548819,0.876048817696415,0.7885211185442227,0.9635765168486072,ind,ind_12_09,38,Ramaswami et al 2017 Plant Ecology,India,Santalum album,Santalaceae,Asia,Tropical,19,28,#741D9E,#3E239B,#AB47BCFF,#7E57C2FF,#701C9C,#AB47BCFF,#CA2A2A,#EF5350FF,#326481,#EB5760FF,#2DB27DFF
