"","net_id","assortativity","centr_binary","centralization.w","type"
"1","01_01",-0.507102130873285,0.621014712197568,0.854959423695866,"ind"
"2","01_02",-0.603362863155699,0.788752876526662,0.922156490606314,"ind"
"3","02_01",-0.737422844660921,0.712237760985431,0.92844923177406,"ind"
"4","02_02",-0.729744516672881,0.682195018651627,0.897034533625794,"ind"
"5","02_03",-0.654046927431325,0.70504689786652,0.896165171663804,"ind"
"6","03_01",-0.464465988302219,0.697649942303008,0.859374229511217,"ind"
"7","03_02",-0.241397753610269,0.747594059792846,0.914933913877359,"ind"
"8","03_03",-0.100167681581502,0.645827828666319,0.826521992539227,"ind"
"9","03_04",-0.295930462267878,0.702534822137274,0.840688400867116,"ind"
"10","03_05",-0.107443365695793,0.712671294303791,0.905228306214964,"ind"
"11","03_06",-0.397990388816076,0.67213087746294,0.978439451943283,"ind"
"12","04_01",-0.387276313935465,0.603208831947223,0.922034423467079,"ind"
"13","05_01",-0.204706008190701,0.396066038426742,0.881502814716866,"ind"
"14","06_01",-0.486103338929304,0.643072125136536,0.898502831659884,"ind"
"15","06_02",-0.450309082263433,0.774699102616466,0.897306004461245,"ind"
"16","06_03",-0.512831525155765,0.844925936634691,0.903426949323585,"ind"
"17","07_01",-0.128705838754838,0.820446531563792,0.977622095757506,"ind"
"18","08_01",-0.666666666666667,0.868228205201529,0.914570343550583,"ind"
"19","08_02",-0.357142857142857,0.790039196669519,0.969475118208467,"ind"
"20","08_03",-0.527359659996458,0.803765755295978,0.924287237849258,"ind"
"21","08_04",-0.423513931531199,0.678192589730074,0.907293260130298,"ind"
"22","09_01",-0.289166994032587,0.631183962925328,0.94500836335103,"ind"
"23","10_01",-0.687782404536192,0.68697990535129,0.801092554367421,"ind"
"24","11_01",-0.504471824795321,0.645895575728344,0.86138811991673,"ind"
"25","12_01",-0.459986987638255,0.491231426693094,0.703260426463321,"ind"
"26","12_02",-0.568431895865524,0.648412355095445,0.817053414136501,"ind"
"27","12_03",-0.657611771363894,0.555596026537977,0.650857869493005,"ind"
"28","12_04",-0.735783331881912,0.56621542386785,0.668175657878027,"ind"
"29","12_05",-0.304377800758359,0.715259323284574,0.840980624273372,"ind"
"30","12_06",-0.411764705882353,0.747839261089304,0.990662565350499,"ind"
"31","12_07",NA,1.3176290601713e-05,1,"ind"
"32","12_08",-0.581701880209343,0.573888347093828,0.841804415393519,"ind"
"33","12_09",-0.55657347443795,0.666778175312506,0.790688321595345,"ind"
"34","12_10",-0.434194033592381,0.455843032775273,0.823374224943291,"ind"
"35","13_01",-0.807295729901965,0.762550860754613,0.888874043168286,"ind"
"36","13_02",-0.579128973701187,0.745735963470891,0.848674140142597,"ind"
"37","14_01",-0.501031728691768,0.584468986475521,0.819045859482845,"ind"
"38","15_01",-0.517752288466668,0.74976914457848,0.910016459414586,"ind"
"39","16_01",-0.530152561595779,0.748828423226159,0.929647019956101,"ind"
"40","16_02",-0.674541239222342,0.702935513591767,0.90287271779805,"ind"
"41","16_03",-0.688715663517992,0.827783742949912,0.945244927435419,"ind"
"42","16_04",-0.633577234273919,0.816271250887549,0.936350479472206,"ind"
"43","16_05",-0.721262124600674,0.703168499148748,0.809228722042625,"ind"
"44","17_01",-0.373484015943051,0.73871993709454,0.931027231740441,"ind"
"45","18_01",-0.389548693586699,0.495163953936192,0.858116776852133,"ind"
"46","18_02",-0.340393179102857,0.577366802645724,0.803154472290789,"ind"
"47","19_01",-0.333331810240968,0.793693810314257,0.935990106460781,"ind"
"48","20_01",-0.435257908022033,0.730218428121702,0.921921477848667,"ind"
"49","01_01",-0.450712042951387,0.654975573969978,0.953472689047451,"sp"
"50","01_02",-0.432604906437719,0.476991341599727,0.948021059111159,"sp"
"51","02_01",-0.455377809303367,0.657904953668745,0.884742677645611,"sp"
"52","03_01",-0.444444444444444,0.554360278320197,0.939603612081265,"sp"
"53","03_02",-0.6875,0.612609630718574,0.943457083652298,"sp"
"54","03_03",-0.558752997601919,0.534754587139661,0.868948184516474,"sp"
"55","03_04",-0.570581696924786,0.491452346977093,0.834032521059399,"sp"
"56","04_01",-0.712080268227994,0.600287652564417,0.901812067938192,"sp"
"57","05_01",-0.34656741108354,0.500835295999691,0.940565028429428,"sp"
"58","06_01",-0.587842598464029,0.382409771249754,0.836467353810599,"sp"
"59","07_01",-0.391261294714692,0.566597674939043,0.812448997998054,"sp"
"60","08_01",-0.197314652656159,0.725005274158832,0.879569024516495,"sp"
"61","09_01",-0.84253238170764,0.668288719676628,0.801523861460948,"sp"
"62","10_01",-0.260818484433131,0.683244250707472,0.875756994785808,"sp"
"63","11_01",-0.505043512658228,0.796664606070844,0.826918497745729,"sp"
"64","12_01",-0.707843608262648,0.845446523994397,0.954319964922554,"sp"
"65","13_01",-0.705912607734076,0.609195030229307,0.938115830141652,"sp"
"66","14_01",-0.671317829457365,0.643664486950955,0.933095892228058,"sp"
"67","15_01",-0.567662413450468,0.755754820551258,0.968525644309615,"sp"
"68","15_02",-0.91621189570586,0.609171558466002,0.891766370805456,"sp"
"69","15_03",-0.754824307210166,0.665494657658076,0.912117251556257,"sp"
"70","15_04",-0.788000332667512,0.682607630689957,0.919430865244781,"sp"
"71","16_01",-0.512628823020772,0.801152483496863,0.904254117896614,"sp"
"72","17_01",-0.307463083671751,0.769992563527656,0.939136553284913,"sp"
"73","18_01",-0.433969751258581,0.828918782550577,0.940660936376557,"sp"
"74","19_01",-0.713605940137584,0.638827506381155,0.808873703744196,"sp"
"75","20_01",-0.532467313120566,0.573298483520921,0.768073009491423,"sp"
"76","21_01",-0.639954086179033,0.671383893766248,0.947326345965776,"sp"
"77","22_01",-0.316728795751234,0.819922763086487,0.909929526700653,"sp"
