net_id,frug_sp,ints,n_ind,n_plants_int,per.plants,net_code,type,ref,country,plant_sp,family.x,continent,bioregion,plot_rank1,plot_rank2,cols_continent1,cols_continent2,cols_continent_d1,cols_continent_d2,cols_bioregions1,cols_bioregions_d1,cols_bioregions2,cols_bioregions_d2,frug_sp_original,frug_sp_elton,family.y,bmass.elton,class,bmass
01_01,Sylvia_atricapilla,0.043722846939823694,40,34,0.85,ind_01_01,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Sylvia atricapilla,Sylvia atricapilla,Sylviidae,16.7,bird,16.7
01_01,Sylvia_hortensis,0.0030453724236693108,40,15,0.375,ind_01_01,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Sylvia hortensis,Sylvia hortensis,Sylviidae,21.9,bird,21.9
01_01,Turdus_viscivorus,1.8127216807555424e-5,40,1,0.025,ind_01_01,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Turdus viscivorus,Turdus viscivorus,Turdidae,117.37,bird,117.37
01_01,Ficedula_hypoleuca,5.740285322392551e-4,40,6,0.15,ind_01_01,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Ficedula hypoleuca,Ficedula hypoleuca,Muscicapidae,13.79,bird,13.79
01_01,Sturnus_unicolor,0.0045136769850813,40,5,0.125,ind_01_01,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Sturnus unicolor,Sturnus unicolor,Sturnidae,83.66,bird,83.66
01_01,Sylvia_borin,4.6526523139392255e-4,40,5,0.125,ind_01_01,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Sylvia borin,Sylvia borin,Sylviidae,18.2,bird,18.2
01_01,Columba_palumbus,2.235690072931836e-4,40,1,0.025,ind_01_01,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Columba palumbus,Columba palumbus,Columbidae,490,bird,490
01_01,Pyrrhula_pyrrhula,8.459367843525864e-5,40,2,0.05,ind_01_01,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Pyrrhula pyrrhula,Pyrrhula pyrrhula,Fringillidae,24.26,bird,24.26
01_01,Lanius_meridionalis,3.2628990253599766e-4,40,7,0.175,ind_01_01,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Lanius meridionalis,Lanius meridionalis,Laniidae,60.43,bird,60.43
01_01,Muscicapa_striata,4.8339244820147796e-5,40,2,0.05,ind_01_01,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Muscicapa striata,Muscicapa striata,Muscicapidae,15.9,bird,15.9
01_01,Sylvia_cantillans,1.14805706447851e-4,40,3,0.075,ind_01_01,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Sylvia cantillans,Sylvia cantillans,Sylviidae,9.6,bird,9.6
01_01,Coccothraustes_coccothraustes,6.0424056025184745e-6,40,1,0.025,ind_01_01,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Fringillidae,56.63,bird,56.63
01_02,Chloris_chloris,0.10272160614626367,40,26,0.65,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Chloris chloris,Carduelis chloris,Fringillidae,26,bird,26
01_02,Erithacus_rubecula,0.5949481771399581,40,39,0.975,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Erithacus rubecula,Erithacus rubecula,Muscicapidae,17.7,bird,17.7
01_02,Sylvia_melanocephala,0.24349496267304488,40,35,0.875,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Sylvia melanocephala,Sylvia melanocephala,Sylviidae,11.7,bird,11.7
01_02,Cyanopica_cooki,0.03669275929549902,40,5,0.125,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Cyanopica cooki,Cyanopica cyanus,Corvidae,95.91,bird,95.91
01_02,Phoenicurus_phoenicurus,0.0066862361382909324,40,8,0.2,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Phoenicurus phoenicurus,Phoenicurus phoenicurus,Muscicapidae,14.59,bird,14.59
01_02,Sylvia_atricapilla,8.697542944118286e-4,40,3,0.075,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Sylvia atricapilla,Sylvia atricapilla,Sylviidae,16.7,bird,16.7
01_02,Luscinia_megarhynchos,3.6239762267159525e-5,40,1,0.025,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Luscinia megarhynchos,Luscinia megarhynchos,Muscicapidae,19.6,bird,19.6
01_02,Sylvia_undata,0.0015764296586214394,40,5,0.125,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Sylvia undata,Sylvia undata,Sylviidae,10.8,bird,10.8
01_02,Columba_palumbus,1.8119881133579763e-4,40,1,0.025,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Columba palumbus,Columba palumbus,Columbidae,490,bird,490
01_02,Fringilla_coelebs,1.8119881133579763e-5,40,1,0.025,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Fringilla coelebs,Fringilla coelebs,Fringillidae,23.81,bird,23.81
01_02,Hippolais_polyglotta,7.247952453431905e-5,40,1,0.025,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Hippolais polyglotta,Hippolais polyglotta,Sylviidae,11,bird,11
01_02,Turdus_philomelos,0.004294411828658404,40,2,0.05,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Turdus philomelos,Turdus philomelos,Turdidae,67.74,bird,67.74
01_02,Turdus_merula,0.00764658983837066,40,3,0.075,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Turdus merula,Turdus merula,Turdidae,102.73,bird,102.73
01_02,Sylvia_cantillans,1.8119881133579763e-5,40,1,0.025,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Sylvia cantillans,Sylvia cantillans,Sylviidae,9.6,bird,9.6
01_02,Saxicola_rubicola,6.341958396752917e-4,40,2,0.05,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Saxicola rubicola,Saxicola torquatus,Muscicapidae,14.09,bird,14.09
01_02,Sylvia_communis,1.0871928680147858e-4,40,1,0.025,ind_01_02,ind,Quintero et al 2023 Ecology letters,Spain,Pistacia lentiscus,Anacardiaceae,Europe,Mediterranean,8,8,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,#1871CD,#42A5F5FF,#1871CD,#42A5F5FF,Sylvia communis,Sylvia communis,Sylviidae,15.1,bird,15.1
02_01,Turdus_philomelos,0.826327312534209,35,35,1,ind_02_01,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Turdus philomelos,Turdus philomelos,Turdidae,67.74,bird,67.74
02_01,Vulpes_vulpes,0.014632366356504289,35,22,0.6285714285714286,ind_02_01,ind,Isla et al 2023 PRSB,Spain,Juniperus phoenicea,Cupressaceae,Europe,Mediterranean,4,4,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,#39A1F4,#42A5F5FF,#39A1F4,#42A5F5FF,Vulpes vulpes,Vulpes vulpes,Canidae,5476.17,mammal,5476.17
