net_id,WIC,TNW,WIC/TNW
01_01,1.4925312024657096,1.6527968282980852,0.9030336801908048
01_02,1.019449071978461,1.3481456434929278,0.7561861560722456
02_01,0.5434713332120932,0.6592791853076123,0.8243417133797657
02_02,0.8312024496776602,0.9576155961017025,0.8679917631472903
02_03,0.956046755586228,1.2286072331518705,0.778154913782808
03_01,0.8891493343796045,1.693776575540172,0.5249507799433587
03_02,0.8531802229335392,1.920976750385785,0.44413875532965047
03_03,1.025543862349234,2.0983664134471174,0.48873440585836914
03_04,1.0433590128646064,1.812372215091352,0.575686939016562
03_05,1.0106458370863896,2.0869228647485265,0.48427560699909816
03_06,0.5269416654904939,1.565310255635548,0.33663720249283413
04_01,1.2802286574288935,1.8372504632841749,0.696817708316384
05_01,1.7929804491762278,2.1769914398512227,0.8236047309854198
06_01,0.6568387263891742,1.701578653032392,0.38601725827872757
06_02,0.5341520690755167,1.2267621576600465,0.43541616094057733
06_03,0.4138414007556204,1.4714093524628424,0.2812551110015261
07_01,1.2918740319322664,2.6510269710111007,0.4873107841070157
08_01,0,0.819862930857278,0
08_02,0.3216184006867459,0.9868447951344138,0.32590575769611235
08_03,0.7271815452947529,1.249825062836593,0.581826662720579
08_04,1.3419298459302331,2.0243409554207177,0.6628971480011087
09_01,1.4889924215694763,2.584362444598945,0.5761546429686437
10_01,1.0734419150223622,1.6622296498140823,0.6457843626736083
11_01,1.1679315037361528,1.59067976669209,0.7342342111793712
12_01,0.9956378431975617,1.3843007795625382,0.7192351964955186
12_02,1.1125673838316403,1.8766305519218145,0.592853709374115
12_03,0.8969280439584849,1.6048534430988783,0.5588847055258636
12_04,0.9644790783264621,1.3531609959855413,0.7127600346062352
12_05,0.8468547964676003,1.5524070605315634,0.5455107864413002
12_06,0.6071780497087924,1.654050827917397,0.367085484593775
12_07,0,0.5004024235381879,0
12_08,0.9731733396407023,1.4701567570994236,0.6619520911230887
12_09,1.1321106348485286,1.6796122425859177,0.6740309496110484
12_10,1.5467504345646739,1.7664375848723834,0.8756326562630398
13_01,0.7024089689959114,1.3198923378329082,0.5321714119116532
13_02,0.8052188094713584,1.2196933813526614,0.6601813388364514
14_01,1.1231140147934309,1.6737490471718304,0.6710169703703077
15_01,0.7899297901538389,1.383079248100038,0.5711384877178804
16_01,0.6407663713500624,1.2832732701375766,0.49932184068742225
16_02,0.8700441162541639,1.4692395876460693,0.5921730693685556
16_03,0.43353905636799045,1.2499986808603574,0.3468316111098544
16_04,0.316101928929961,0.968917352815825,0.3262424065492474
16_05,0.9869341441567292,1.1437301720388973,0.8629082001022567
17_01,1.1519995038382522,1.7233104827677705,0.6684805293983076
18_01,1.646226346427525,2.142071249276869,0.7685208169351353
18_02,1.3312808430358043,1.9327278065693372,0.6888092769767082
19_01,1.1671770243690782,1.9125036215889981,0.6102874845273927
20_01,0.8365047097369703,1.1624721648661978,0.7195911738955515
