ind,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,d,net_id,net_n,ind_ID,mean.bray.overlap,mean.jaccard.overlap,eigen.centrality,tm.closeness,tm.w.closeness,tm.betweenness,tm.w.betweenness
301,11,0.4074074074074074,0.8505109877705065,-0.013589910202681223,0.20512820512820512,0.9523747611493536,0.5295018789729908,0.6153846153846154,0.8505109877705065,1,0,0,0.025,0.03176575648604273,NA,1.4294846920693904,4.17654642980535,0.7557782415658978,0.7998651434361226,0,01_01,1,01_01_301,0.575400661559099,0.41827673243219154,0.24815105423326,0.0303982889501383,0.031202628220257277,0,0
302,15,0.5555555555555556,2.6824508329302685,0.1121633888620179,0.07692307692307693,0.9401681835173944,0.4518455139349559,0.46153846153846156,2.6824508329302685,1,0,0,0.025,0.03052408355254429,NA,1.7534304275833423,5.774377322110341,0.774574942379318,1.1058713754606435,0,01_01,1,01_01_302,0.5782921062222453,0.42155629899642155,0.228436924450865,0.03329065672144203,0.031920243960666166,0.5,0
303,9,0.3333333333333333,0.13992167566451225,-0.09556425825949864,0.5897435897435898,0.9577911533170181,0.5550037467320607,0.6923076923076923,0.13992167566451225,1,0,0,0.025,0.014375753526803908,NA,1.3222005354440602,3.7516679788253473,0.7720482011302414,0.7184951721338101,0,01_01,1,01_01_303,0.5968529234470575,0.44058075901507476,0.11912346934915,0.0234508915848789,0.014090766935628211,0,0
304,19,0.7037037037037037,3.1540359398159286,0.11337031262189097,0,0.927815928221748,0.436349075144271,0.3076923076923077,3.1540359398159286,1,0,0.05063291139240506,0.025,0.07184326614383643,NA,1.784776888048296,5.958250442388909,0.8010512211213856,1.1410855655091707,0,01_01,1,01_01_304,0.41599601431615885,0.28376087996023036,0.517445910392748,0.0396514830356031,0.074394795366438,149.50000000000003,89
305,5,0.18518518518518517,0.058813106381241126,-0.18823737872375174,1,0.9627272783379637,0.6226878832272116,0.8461538461538461,0.058813106381241126,1,0,0,0.025,0.010216775476573767,NA,1.0286004035821399,2.79714821517328,0.7203584422421242,0.5356917242378034,0,01_01,1,01_01_305,0.5311090755450109,0.3799478491130318,0.0917411292530866,0.01626200934704758,0.009875566169962819,0,0
306,11,0.4074074074074074,0.48718547052239486,-0.04661950267978228,0.3076923076923077,0.9334465462372967,0.47627945853617504,0.6153846153846154,0.48718547052239486,1,0,0,0.025,0.02100640921854885,NA,1.5460152407957857,4.692733463863756,0.8527562988351163,0.8987219436599947,0,01_01,1,01_01_306,0.6572827402444761,0.504597700287564,0.162806482741809,0.029363914264732754,0.02079678614463096,0,0
307,7,0.25925925925925924,0.0981256733978511,-0.1288391895145927,0.8974358974358975,0.9336699989834548,0.5013116561406881,0.7692307692307693,0.0981256733978511,1,0,0,0.025,0.00969421966331739,NA,1.4076038017068055,4.086152432345529,0.761510447644122,0.782553470033432,0,01_01,1,01_01_307,0.5384847107627719,0.3877070212315258,0.0737678392225641,0.02128473984386472,0.009580897031727759,0,0
308,7,0.25925925925925924,0.20738726879615374,-0.11323039017197802,0.8205128205128205,0.9523259549944653,0.548615666499574,0.7692307692307693,0.20738726879615374,1,0,0,0.025,0.02420452146440937,NA,1.2737974826691796,3.574400546084131,0.7765208874409384,0.6845460606132865,0,01_01,1,01_01_308,0.6066682827053824,0.44579541859529137,0.191885719385175,0.019638012263150123,0.02332121028769063,0,0
309,9,0.3333333333333333,0.1766126427796141,-0.09148748413559843,0.6153846153846154,0.9577813302712183,0.5604583955901621,0.6923076923076923,0.1766126427796141,1,0,0,0.025,0.012008052215674891,NA,1.287993913739011,3.6255061775291577,0.7483068615689848,0.6943334804141182,0,01_01,1,01_01_309,0.5748352328818851,0.420892422687839,0.0939151496967849,0.02575591907191777,0.011658953513814777,0,0
310,7,0.25925925925925924,0.08819826440385296,-0.13025739079944956,0.8717948717948718,0.952837348474162,0.5593380220319739,0.7692307692307693,0.08819826440385296,1,0,0,0.025,0.012979196186396723,NA,1.2402463103586454,3.4564647229870764,0.8374486829207871,0.6619597550033237,0,01_01,1,01_01_310,0.6216638114402865,0.47170696103883303,0.11201532456129,0.01966009107430511,0.012545240898004316,0,0
