ind,Pycnonotus_cafer,Pycnonotus_luteolus,Dicaeum_erythrorhynchos,Pycnonotus_jocosus,Spilopelia_senegalensis,Leptocoma_zeylonica,Turdoides_affinis,Aegithina_tiphia
PLEP01,5,15,0,0,0,0,0,0
PLEP03,3,3,0,0,0,0,0,0
PLEP04,10,2,0,0,0,0,0,0
PLEP05,5,0,0,0,0,0,0,0
PLEP06,0,0,1,0,0,0,0,0
PLEP07,0,5,6,12,1,1,0,0
PLEP08,8,7,40,3,0,4,3,0
PLEP09,4,5,3,0,0,1,0,1
PLEP10,31,5,6,0,0,0,0,0
PLEP12,9,7,1,0,0,0,0,0
