ind,Cervus_elaphus,Sus_scrofa,Oryctolagus_cuniculus,Rattus_sp,Vulpes_vulpes,Meles_meles
ER002H,2,1,1,0,0,0
ER007H,3,2,2,0,0,1
ER028H,1,0,0,0,1,0
ER033H,3,0,0,0,1,0
ER036H,12,2,1,0,0,1
ER037H,0,2,0,2,0,0
ER044H,7,2,0,1,0,0
ER045H,10,1,0,0,0,0
ER047H,2,1,0,0,0,0
ER050H,2,1,0,0,0,0
ER052X,3,5,2,0,0,0
ER053H,1,0,0,0,0,0
ER061H,10,2,0,0,0,2
ER067H,6,0,3,0,2,3
ER070H,4,0,9,0,2,0
ER071M-H,2,0,0,0,0,0
ER072H,5,0,0,0,0,0
ER073H,10,0,0,0,0,0
ER074M-H,7,0,0,0,0,0
ER079H,11,2,10,0,0,2
ER080H,7,5,12,1,0,3
ER085H,5,0,0,0,0,0
ER086H,4,0,0,0,0,0
ER090H,9,0,1,0,0,0
