frug_sp_original,frug_sp_elton,family,bmass.elton,class,bmass
Phoenicurus phoenicurus,Phoenicurus phoenicurus,Muscicapidae,14.59,bird,14.59
Saxicola rubicola,Saxicola torquatus,Muscicapidae,14.09,bird,14.09
Ficedula hypoleuca,Ficedula hypoleuca,Muscicapidae,13.79,bird,13.79
Muscicapa striata,Muscicapa striata,Muscicapidae,15.9,bird,15.9
Phoenicurus ochruros,Phoenicurus ochruros,Muscicapidae,16.5,bird,16.5
Saxicoloides fulicatus,Saxicoloides fulicatus,Muscicapidae,16.6,bird,16.6
Meles meles,Meles meles,Mustelidae,13000,mammal,13000
Leptocoma zeylonica,Nectarinia zeylonica,Nectariniidae,8.77,bird,8.77
Cinnyris asiaticus,Nectarinia asiatica,Nectariniidae,8.1,bird,8.1
Oriolus kundoo,Oriolus oriolus,Oriolidae,79,bird,79
Cyanistes caeruleus,Parus caeruleus,Paridae,13.3,bird,13.3
Parus major,Parus major,Paridae,16.25,bird,16.25
Parus caeruleus,Parus caeruleus,Paridae,13.3,bird,13.3
Parus cristatus,Parus cristatus,Paridae,11.04,bird,11.04
Parus ater,Parus ater,Paridae,9.2,bird,9.2
Setophaga pitiayumi,Parula pitiayumi,Parulidae,6.82,bird,6.82
Alectoris rufa,Alectoris rufa,Phasianidae,527.86,bird,527.86
Colaptes melanochloros,Colaptes melanochloros,Picidae,127.27,bird,127.27
Dendrocopos major,Dendrocopos major,Picidae,74.94,bird,74.94
Melanerpes flavifrons,Melanerpes flavifrons,Picidae,57.78,bird,57.78
Celeus elegans,Celeus elegans,Picidae,134.97,bird,134.97
Ceratopipra rubrocapilla,Pipra rubrocapilla,Pipridae,12,bird,12
Dixiphia pipra,Pipra pipra,Pipridae,11.11,bird,11.11
Machaeropterus regulus,Machaeropterus regulus,Pipridae,9.34,bird,9.34
Manacus manacus,Manacus manacus,Pipridae,16.7,bird,16.7
Dixiphia rubrocapilla,Pipra rubrocapilla,Pipridae,12,bird,12
Lepidothrix coronata,Lepidothrix coronata,Pipridae,8.34,bird,8.34
Tyranneutes stolzmanni,Tyranneutes stolzmanni,Pipridae,7.2,bird,7.2
Machaeroptus regulus,Machaeropterus regulus,Pipridae,9.34,bird,9.34
Myiopsitta monachus,Myiopsitta monachus,Psittacidae,120,bird,120
Psilopsiagon aymara,Psilopsiagon aymara,Psittacidae,30,bird,30
Thectocercus acuticaudata,Aratinga acuticaudata,Psittacidae,171,bird,171
Pionus maximiliani,Pionus maximiliani,Psittacidae,293,bird,293
Pyrrhura frontalis,Pyrrhura frontalis,Psittacidae,72,bird,72
Brotogeris tirica,Brotogeris tirica,Psittacidae,63,bird,63
Forpus xanthopterygius,Forpus xanthopterygius,Psittacidae,31,bird,31
Psittacula krameri,Psittacula krameri,Psittacidae,116.11,bird,116.11
Iole indica,Iole indica,Pycnonotidae,30.6,bird,30.6
Pycnonotus jocosus,Pycnonotus jocosus,Pycnonotidae,29.47,bird,29.47
Rubigula gularis,Pycnonotus melanicterus,Pycnonotidae,29.3,bird,29.3
Hypsipetes ganeesa,Hypsipetes leucocephalus,Pycnonotidae,51.8,bird,51.8
Pycnonotus luteolus,Pycnonotus luteolus,Pycnonotidae,34.7,bird,34.7
Pycnonotus cafer,Pycnonotus cafer,Pycnonotidae,42.85,bird,42.85
Pycnonotus xantholaemus,Pycnonotus xantholaemus,Pycnonotidae,33.46,bird,33.46
Ramphastos vitellinus,Ramphastos vitellinus,Ramphastidae,360.36,bird,360.36
Selenidera maculirostris,Selenidera maculirostris,Ramphastidae,164,bird,164
Psilopogon viridis,Megalaima viridis,Ramphastidae,80.5,bird,80.5
Ramphastos sp,Ramphastos brevis,Ramphastidae,412,bird,412
Pteroglossus erythropygius,Pteroglossus torquatus,Ramphastidae,219.07,bird,219.07
Aulacorhynchus haematopygus,Aulacorhynchus haematopygus,Ramphastidae,194.39,bird,194.39
Megalaima haemacephala,Megalaima haemacephala,Ramphastidae,44.49,bird,44.49
Capito auratus,Capito auratus,Ramphastidae,57.37,bird,57.37
Pteroglossus beauharnaesii,Pteroglossus beauharnaesii,Ramphastidae,215.91,bird,215.91
Ramphastos tucanus,Ramphastos tucanus,Ramphastidae,659.58,bird,659.58
Pteroglossus azara,Pteroglossus azara,Ramphastidae,144.45,bird,144.45
Selenidera reinwardtii,Selenidera reinwardtii,Ramphastidae,161.77,bird,161.77
Regulus ignicapillus,Regulus ignicapilla,Reguliidae,5.6,bird,5.6
Ratufa indica,Ratufa indica,Sciuridae,1060,mammal,1060
Funambulus sublineatus,Funambulus sublineatus,Sciuridae,70.94,mammal,70.94
Sciurus granatensis,Sciurus granatensis,Sciuridae,250,mammal,250
Sitta europaea,Sitta europaea,Sittidae,20.37,bird,20.37
Sturnus unicolor,Sturnus unicolor,Sturnidae,83.66,bird,83.66
Gracula indica,Gracula religiosa,Sturnidae,192,bird,192
Acridotheres fuscus,Acridotheres fuscus,Sturnidae,82.8,bird,82.8
Sturnia blythii,Sturnus malabaricus,Sturnidae,39.6,bird,39.6
Sturnus vulgaris,Sturnus vulgaris,Sturnidae,77.14,bird,77.14
Sus scrofa,Sus scrofa,Suidae,96118.09,mammal,96118.09
Hippolais polyglotta,Hippolais polyglotta,Sylviidae,11,bird,11
Sylvia communis,Sylvia communis,Sylviidae,15.1,bird,15.1
