sp;Turdus.iliacus;Turdus.merula;Turdus.philomelos;Turdus.pilaris;Turdus.torquatus;Turdus.viscivorus
Berberis.vulgaris;1;5;1;0;12;4
Crataegus.monogyna;19;28;3;2;86;14
Daphne.laureola;0;0;0;0;0;0
Hedera.helix;4;74;0;0;2;3
Juniperus.communis;0;0;0;0;2;0
Lonicera.arborea;0;1;0;0;3;0
Rosa.canina;0;14;0;0;10;4
Taxus.baccata;6;3;0;0;10;2
Viscum.album;0;0;0;0;2;37
