ind,Cervus_elaphus,Sus_scrofa,Oryctolagus_cuniculus,Rattus_sp,Vulpes_vulpes,Meles_meles
CHU0108,0,0,0.08333333333333333,0,0,0
CHU096M,0.9166666666666666,0,0,0,0,0.16666666666666666
CHU105M,0,0,0.3333333333333333,0,0,0.08333333333333333
CHU114M,0.5,0,0.08333333333333333,0,0,0.08333333333333333
EM001H,0.08333333333333333,0,0,0,0,0.08333333333333333
EM003H,0,0,0.08333333333333333,0,0,0
EM007,0,0,0.08333333333333333,0.08333333333333333,0,0
EM008,0.08333333333333333,0,0.08333333333333333,0,0,0
EM009,0,0,0.16666666666666666,0,0,0
EM013,0.16666666666666666,0,0.5833333333333334,0.16666666666666666,0,0
EM031,0,0,0.16666666666666666,0.08333333333333333,0,0
EM044,0,0,0.08333333333333333,0.16666666666666666,0,0
EM054,0,0,0,0.16666666666666666,0,0
EM060,0,0,0.25,0.16666666666666666,0,0
EM062B,0.16666666666666666,0,0,0.16666666666666666,0,0
EM066H,0,0,0.08333333333333333,0,0,0
EM083H,0,0,0,0.16666666666666666,0,0
EM090H,0,0,0,0.3333333333333333,0,0
EM117H,0.16666666666666666,0,0.16666666666666666,0,0,0
EM123H,0.08333333333333333,0,0.08333333333333333,0.16666666666666666,0,0
EM128,0.08333333333333333,0,0,0.25,0,0.08333333333333333
EM133,0.25,0,0,0.3333333333333333,0,0
EM138,0.08333333333333333,0,0,0.08333333333333333,0,0
EM142,0,0,0,0.08333333333333333,0,0
EM155,0.16666666666666666,0,0,0,0,0
EM160,0.16666666666666666,0,0.16666666666666666,0,0,0
EM163,0,0,0,0.08333333333333333,0,0
EM171,0.08333333333333333,0,1,0,0,0
EM190,0,0.08333333333333333,0.4166666666666667,0.25,0,0
EM193,0.16666666666666666,0,0,0,0,0
EM199,0,0,0.4166666666666667,0.25,0,0.16666666666666666
EM227,0.08333333333333333,0,0.08333333333333333,0,0,0
EM234,0,0,0.08333333333333333,0,0,0
EM240,0.4166666666666667,0,0,0,0,0.25
EM291H,0.16666666666666666,0.08333333333333333,0.75,0.16666666666666666,0,0
EM293,0,0,0,0.08333333333333333,0,0
EM297H,0.25,0,0.3333333333333333,0,0,0
EM298H,0.3333333333333333,0,0.8333333333333334,0.4166666666666667,0.08333333333333333,0
EM300H,0,0,0.25,0.5,0.08333333333333333,0
