ind,x,y,crop,DBH_cm,height_cm,se_obs_h,fruit_type,fruit_color,seeds_per_fruit
PEMA01,10.349573,76.916515,600,215,2400,5.166666666666667,Drupaceous ,blackish,1
PEMA02,10.35091834,76.91794261,220,271,2200,5.116666666666666,Drupaceous ,blackish,1
PEMA03,10.31522543,76.8312283,150,167,2600,5.25,Drupaceous ,blackish,1
PEMA04,10.34109492,76.966545,15,195,1600,4.683333333333334,Drupaceous ,blackish,1
PEMA05,10.30105641,76.90933624,20,169,1900,5.533333333333333,Drupaceous ,blackish,1
PEMA06,10.29946913,76.90402371,15,204,2500,5.066666666666666,Drupaceous ,blackish,1
PEMA07,10.31575274,76.8324472,30,214,2600,6.15,Drupaceous ,blackish,1
PEMA08,10.33878981,76.9631748,20,223,2600,5,Drupaceous ,blackish,1
PEMA09,10.416083,76.87628,100,239,2000,5.083333333333333,Drupaceous ,blackish,1
PEMA10,10.41710151,76.87418262,164,220,2100,4.166666666666667,Drupaceous ,blackish,1
PEMA11,10.41723269,76.87236534,180,240,2700,5.166666666666667,Drupaceous ,blackish,1
PEMA12,10.41683539,76.8725567,66,159,2300,4.583333333333333,Drupaceous ,blackish,1
PEMA13,10.41843751,76.87552247,120,250,2700,5,Drupaceous ,blackish,1
PEMA14,10.41606886,76.87595766,75,287,1700,4.3,Drupaceous ,blackish,1
PEMA15,10.41962933,76.87534226,330,203,2300,5.083333333333333,Drupaceous ,blackish,1
PEMA16,10.417229,76.87415329,219,286,2200,3.45,Drupaceous ,blackish,1
PEMA17,10.35962647,76.9297924,456,175,2000,5.133333333333334,Drupaceous ,blackish,1
PEMA18,10.338751,76.962703,44,198,2000,3.5833333333333335,Drupaceous ,blackish,1
PEMA19,10.368139,76.993277,73,185,1500,4,Drupaceous ,blackish,1
PEMA20,10.370254,76.993708,120,216,2600,5.216666666666667,Drupaceous ,blackish,1
PEMA21,10.369942,76.993785,20,144,1800,4,Drupaceous ,blackish,1
PEMA22,10.40776617,76.87607006,72,136,2200,5.1,Drupaceous ,blackish,1
PEMA23,10.404184,76.8769251,80,255,2600,4.216666666666667,Drupaceous ,blackish,1
PEMA24,10.40769903,76.87520354,60,175,3100,4.233333333333333,Drupaceous ,blackish,1
PEMA25,10.40770515,76.87677649,10,174,2500,5.05,Drupaceous ,blackish,1
PEMA26,10.394788,76.871785,5,109,1600,3.5,Drupaceous ,blackish,1
PEMA27,10.39468196,76.87173679,5,165,1800,3.5,Drupaceous ,blackish,1
PEMA28,10.39960781,76.87393787,10,143,2500,5.05,Drupaceous ,blackish,1
PEMA29,10.399603,76.873641,30,144,1900,4.066666666666666,Drupaceous ,blackish,1
PEMA30,10.372005,76.993589,40,143,1700,4.166666666666667,Drupaceous ,blackish,1
PEMA31,10.33848329,76.96324303,60,213,3000,5,Drupaceous ,blackish,1
PEMA32,10.3682403,76.99232723,100,162,1800,5,Drupaceous ,blackish,1
