ind,x,y,crop,DBH_cm,height_cm,se_obs_h,fruit_type,fruit_color,seeds_per_fruit
HETR01,10.310907,76.910447,180,109,1600,5,Arillate,red,1
HETR02,10.31063165,76.91057048,520,143,1400,5,Arillate,red,1
HETR03,10.349208,76.930833,500,178,2400,3.75,Arillate,red,1
HETR04,10.36795079,76.93855111,500,143,1800,5,Arillate,red,1
HETR05,10.394738,76.992656,90,86,1400,4.116666666666666,Arillate,red,1
HETR06,10.308744,76.902752,170,165,1400,5.2,Arillate,red,1
HETR07,10.348858,76.930949,192,280,2000,5.166666666666667,Arillate,red,1
HETR08,10.347825,76.898707,50,165,2600,5.25,Arillate,red,1
HETR09,10.349295,76.930707,120,170,2000,5.333333333333333,Arillate,red,1
HETR10,10.37585526,76.98942985,500,164,1800,5.833333333333333,Arillate,red,1
HETR11,10.37579315,76.9894343,60,93,1400,4,Arillate,red,1
HETR12,10.34947825,76.93049602,152,135,2000,5,Arillate,red,1
HETR13,10.356157,76.917081,307,136,2500,5.583333333333333,Arillate,red,1
HETR14,10.35154388,76.91490853,340,126,1700,4.316666666666666,Arillate,red,1
HETR15,10.35897176,76.9295803,270,98,1700,5.883333333333334,Arillate,red,1
HETR16,10.34864291,76.93062552,700,184,2000,5.166666666666667,Arillate,red,1
HETR17,10.375232,76.9889,20,124,2100,4.333333333333333,Arillate,red,1
HETR18,10.34869647,76.93027373,303,168,2400,5.416666666666667,Arillate,red,1
HETR19,10.34920374,76.93095602,150,165,2400,4,Arillate,red,1
HETR20,10.33928962,76.96636009,300,170,2300,6,Arillate,red,1
HETR21,10.340227,76.965242,143,172,1500,4.083333333333333,Arillate,red,1
HETR22,10.31344872,76.91191913,377,136,1700,5.25,Arillate,red,1
HETR23,10.302485,76.909864,817,140,1400,4.5,Arillate,red,1
HETR24,10.35722296,76.91855793,130,95,1900,5.083333333333333,Arillate,red,1
HETR25,10.34897458,76.93327722,401,195,2500,5.75,Arillate,red,1
HETR26,10.34856252,76.93137855,1080,179,2500,4.033333333333333,Arillate,red,1
HETR27,10.315309,76.835237,40,99,1100,5.166666666666667,Arillate,red,1
HETR28,10.30932181,76.83336544,450,117,1100,4.5,Arillate,red,1
HETR29,10.303803,76.90975,663,146,1400,5.416666666666667,Arillate,red,1
HETR30,10.340537,76.966128,1900,125,1500,4,Arillate,red,1
HETR31,10.34101848,76.96645414,1052,137,1700,5.166666666666667,Arillate,red,1
HETR32,10.34699025,76.92948843,900,184,1800,4.333333333333333,Arillate,red,1
HETR33,10.35567968,76.89274284,20,130,2000,4.25,Arillate,red,1
HETR34,10.34082871,76.96666352,402,118,1300,4.033333333333333,Arillate,red,1
HETR35,10.349334,76.930447,725,140,2200,4.766666666666667,Arillate,red,1
HETR36,10.33885846,76.96621324,600,131,1400,4.166666666666667,Arillate,red,1
