ind,se_obs_h
ML03,72.5
ML05,36
ML20,2
ML26,6
ML27,8
ML31,18
ML34,15.5
ML35,10
ML37,11
ML40,36
ML47,8
ML52,6
ML54,3.5
ML55,49.5
ML59,18
ML60,10
ML61,15.5
ML64,17
ML72,2
ML76,10
ML81,10
ML82,20
ML84,25.5
ML91,8
