ind,se_obs_h
HETR01,5
HETR02,5
HETR03,3.75
HETR04,5
HETR05,4.116666666666666
HETR06,5.2
HETR07,5.166666666666667
HETR08,5.25
HETR09,5.333333333333333
HETR10,5.833333333333333
HETR11,4
HETR12,5
HETR13,5.583333333333333
HETR14,4.316666666666666
HETR15,5.883333333333334
HETR16,5.166666666666667
HETR17,4.333333333333333
HETR18,5.416666666666667
HETR19,4
HETR20,6
HETR21,4.083333333333333
HETR22,5.25
HETR23,4.5
HETR24,5.083333333333333
HETR25,5.75
HETR26,4.033333333333333
HETR27,5.166666666666667
HETR28,4.5
HETR29,5.416666666666667
HETR30,4
HETR31,5.166666666666667
HETR32,4.333333333333333
HETR33,4.25
HETR34,4.033333333333333
HETR35,4.766666666666667
HETR36,4.166666666666667
