ind,se_obs_h
ZIZO01,1.8
ZIZO02,2
ZIZO03,1.8
ZIZO04,2
ZIZO05,2
ZIZO06,2
ZIZO07,2.2
ZIZO08,2
ZIZO09,2
ZIZO10,2
ZIZO11,2
ZIZO12,2
ZIZO13,2
ZIZO14,2
ZIZO15,2
