ind,se_bc_days,se_bc_area,se_per_bc_cover,se_cam_days,se_per_cam_cover
C002,425,0.52,0.01232227488,71,20
C014,425,0.52,0.01287128712999999,58,20
C017,425,0.56,0.00922570016,88,20
C018,425,0.53,0.04690265487,73,60
C024,425,0.5536,0.1044528302,75,60
C050,425,0.5184,0.00947714808,63,20
C054,425,0.6004,0.1380229885,94,60
C055,425,0.582,0.03932432432,99,60
C056,425,0.52,0.01502890172999999,195,40
C057,425,0.5344,0.00886235489,75,20
C065,425,0.5344,0.01811525424,63,40
C075,425,0.284,0.01240174672,68,40
C083,425,0.4976,0.01959055118,81,40
C086,425,0.49,0.01725352113,66,40
C106,425,0.49,0.03101265823,72,60
C107,425,0.47,0.00625,71,20
C111,425,0.4464,0.0496,79,60
C119,425,0.5416,0.09242320819,68,60
C121,425,0.528,0.02588235294,55,40
C126,425,0.2884,0.02799999999999999,60,60
C131,425,0.5109,0.1140401786,54,60
C140,425,0.5536,0.03295238095,72,60
C141,425,0.5424,0.05506598985,67,60
C150,425,0.5568,0.14848,92,60
C153,425,0.5568,0.0431627907,74,60
C162,425,0.3884,0.00564534884,80,20
C165,425,0.528,0.01183856502,74,20
C168,425,0.5344,0.06004494382,169,60
C172,425,0.5712,0.0181910828,59,40
C174,425,0.5238,0.05718340611,66,60
C176,425,0.5023,0.01599681529,86,40
C193,425,0.5984,0.04675,94,60
C197,425,0.5816,0.1461306533,68,60
C285,425,0.4654,0.2327,63,60
C316,425,0.5472,0.02708910891,65,40
