ind,se_cam_h
18-0001,432
18-0008,432
18-0010,528
18-0013,528
18-0020,480
18-0021,384
18-0022,1248
18-0027,384
18-0035,528
18-0053,456
18-0063,432
18-0064,432
18-0065,432
18-0066,432
18-0067,432
18-0069,432
18-0070,720
18-0071,192
18-0072,528
18-0073,816
18-0074,888
18-0089,1032
18-0103,1200
18-0104,192
18-0105,840
18-0106,528
18-0113,528
18-0131,528
18-0136,528
18-0247,1200
18-0248,720
