ind,se_obs_h
CAST01,5
CAST02,5
CAST03,5
CAST04,5
CAST05,5
CAST06,5
CAST07,5
CAST08,5
CAST09,5.333333333333333
CAST10,5.166666666666667
CAST11,5.333333333333333
CAST12,4.166666666666667
CAST13,4.166666666666667
CAST14,4.166666666666667
CAST15,4
CAST16,4.5
CAST17,4.083333333333333
CAST18,4.333333333333333
CAST19,6.75
CAST20,5.216666666666667
CAST21,4.583333333333333
CAST22,5
CAST23,5.383333333333334
CAST24,4.866666666666666
CAST25,4.25
CAST26,5.083333333333333
CAST27,4.333333333333333
CAST28,5.083333333333333
CAST29,5
CAST30,4
