ind,se_cam_h
T121,48
T122,48
T123,48
T124,48
T125,48
T126,48
T127,48
T128,48
T129,48
T130,48
T132,48
T133,48
T134,48
T135,48
T136,48
T137,48
T138,48
T139,48
T140,48
T141,48
T142,48
T143,48
T144,48
T145,48
T146,48
T147,48
T148,48
T149,48
T150,48
T151,48
T152,48
T153,48
T154,48
T155,48
T156,48
T157,48
T158,48
T159,48
T160,48
