ind,se_bc_days,se_bc_area,se_per_bc_cover,se_cam_days,se_per_cam_cover
O006,405,0.5184,0.0384,80,60
O008,405,0.54,0.03829787234,56,60
O023,405,0.795,0.03081395349,81,40
O042,405,0.5262,0.02413761468,73,40
O045,405,0.612,0.03138461538,66,60
O054,405,0.5235,0.03635416667,73,60
O067,405,0.5325,0.03307453416,79,60
O072,405,0.558,0.03744966443,77,60
O105,405,0.522,0.02704663211999999,65,60
O112,405,0.5109,0.01552887538,91,40
O123,405,0.504,0.08765217391,88,60
O136,405,0.5344,0.06976501305,88,60
O137,405,0.501,0.2722826087,60,60
O148,405,0.72,0.02834645669,72,40
O231,405,0.5425,0.04931818182,74,60
O241,405,0.798,0.03530973450999999,68,40
O268,405,0.6732,0.03205714286,68,40
O304,405,0.756,0.01561983471,193,20
O314,405,0.4884,0.1221,78,60
O334,405,0.755,0.09309494451,81,60
O352,405,0.54,0.02634146341,65,40
O384,405,0.7656,0.03771428570999999,76,40
O463,405,0.565,0.07414698163,77,60
O488,405,0.7495,0.06876146789,80,60
O514,405,0.618,0.0272246696,70,40
O553,405,0.8512,0.032,75,40
O580,405,0.54,0.03292682927,176,60
O582,405,0.5739,0.080041841,65,60
O621,405,0.5817,0.03878,66,60
O626,405,0.604,0.1010033445,64,60
O642,405,0.5425,0.03569078947,82,60
O682,405,0.7455,0.02025815216999999,77,40
O685,405,0.57,0.01233766234,78,20
O766,405,0.5416,0.01934285714,68,40
O839,405,0.528,0.33630573249999995,83,60
