ind,se_obs_days
CHU0108,12
CHU0111,12
CHU096M,12
CHU100,12
CHU105M,12
CHU114M,12
EM001H,12
EM003H,12
EM007,12
EM008,12
EM009,12
EM013,12
EM028,12
EM031,12
EM044,12
EM054,12
EM060,12
EM062B,12
EM066H,12
EM083H,12
EM090H,12
EM097H,12
EM117H,12
EM123H,12
EM128,12
EM133,12
EM136,12
EM138,12
EM142,12
EM155,12
EM160,12
EM163,12
EM171,12
EM190,12
EM193,12
EM199,12
EM227,12
EM234,12
EM236,12
EM240,12
EM270,12
EM291H,12
EM293,12
EM297H,12
EM298H,12
EM300H,12
