ind,se_obs_h
FLAS02,2
FLAS03,2.5
FLAS04,2
FLAS06,2
FLAS07,2
FLAS08,2.3
FLAS09,2
FLAS10,2
FLAS11,2
FLAS12,2
FLAS13,2
FLAS14,2
FLAS15,2
