ind,se_obs_h
P01,5
P02,5
P03,5
P04,5
P05,5
P06,5
P07,5
P08,5
P09,5
P11,5
P12,5
P13,5
P15,5
P17,5
P18,5
P19,5
P20,5
P21,5
P22,5
P23,5
P24,5
P25,5
P26,5
P27,5
P28,5
P31,5
P32,5
P34,5
P35,5
P36,5
