ind,se_bc_area,se_per_bc_cover,se_cam_h
301,0.22,0.01117347944181359,18.600555555555555
302,0.22,0.00760414744027115,19.52694444444444
303,0.22,0.01102162442712602,19.75138888888889
304,0.44,0.02231507774015207,18.864722222222223
305,0.22,0.01584411693534448,18.8525
306,0.22,0.01676774313036996,19.78555555555556
307,0.22,0.01750001193182631,20.01527777777778
308,0.22,0.01291204083022074,18.28527777777778
309,0.22,0.01453571921747616,18.748055555555556
310,0.22,0.02048415224939269,19.64055555555555
311,0.22,0.01596586208398043,17.921388888888888
312,0.22,0.01639958941391594,19.621666666666663
313,0.22,0.01815725336878949,19.28472222222222
314,0.44,0.00648465612458085,20.1875
315,0.22,0.01178247410533531,19.214722222222225
316,0.22,0.01575615206119116,19.97361111111111
317,0.22,0.0146808483661884,19.76888888888889
318,0.22,0.012659670088997481,20.180555555555557
319,0.22,0.03007958785495623,18.435555555555556
320,0.44,0.0148062301924608,19.880277777777778
321,0.22,0.00419854218981456,18.006944444444446
322,0.22,0.03545453519910139,17.930833333333332
323,0.22,0.01764283680776926,20.30611111111111
324,0.22,0.01116394249554711,20.03
325,0.22,0.04256142387308957,20.066111111111113
326,0.22,0.01044151965877113,19.43888888888889
327,0.22,0.0238212281792136,20.14055555555555
329,0.22,0.010890409806121,17.264166666666668
330,0.22,0.01350281410921321,19.15361111111111
331,0.22,0.00901638605214258,18.621388888888887
332,0.22,0.0157668569200735,19.2475
334,0.22,0.01250665837437317,18.0225
335,0.22,0.01036134239668211,18.71472222222222
336,0.22,0.00688632369853177,19.229166666666668
337,0.22,0.00598367056303348,20.183611111111112
338,0.44,0.01638770936695396,19.2075
339,0.22,0.00962168412710769,17.03333333333333
340,0.22,0.00872519021906176,18.021944444444443
382,0.22,0.01904969719640411,18.585277777777776
383,0.22,0.01044131152364838,18.19
