net_code;net_id;sampling_effort;necessary_stand;ref;plant_sp
sp_25_03;25_03;;NO;Ribeiro da Silva et al 2015 Restoration Ecology;NA
sp_26_01;26_01;;NO;Robinson 2015 PhD thesis;NA
sp_27_01;27_01;;NO;Rodrigues 2015 PhD thesis;NA
sp_28_01;28_01;;NO;Burns 2013 Ecology;NA
sp_29_01;29_01;;NO;Albrecht et al 2015 J of Ecology;NA
sp_29_02;29_02;;NO;Albrecht et al 2015 J of Ecology;NA
sp_29_03;29_03;;NO;Albrecht et al 2015 J of Ecology;NA
sp_29_04;29_04;;NO;Albrecht et al 2015 J of Ecology;NA
sp_29_05;29_05;;NO;Albrecht et al 2015 J of Ecology;NA
sp_29_06;29_06;;NO;Albrecht et al 2015 J of Ecology;NA
sp_29_07;29_07;;NO;Albrecht et al 2015 J of Ecology;NA
sp_29_08;29_08;;NO;Albrecht et al 2015 J of Ecology;NA
sp_29_09;29_09;;NO;Albrecht et al 2015 J of Ecology;NA
sp_29_10;29_10;;NO;Albrecht et al 2015 J of Ecology;NA
sp_29_11;29_11;;NO;Albrecht et al 2015 J of Ecology;NA
sp_29_12;29_12;;NO;Albrecht et al 2015 J of Ecology;NA
sp_29_13;29_13;;NO;Albrecht et al 2015 J of Ecology;NA
sp_30_01;30_01;;NO;Andrade et al 2011 Rev. Brasileira de Ornitologia;NA
sp_32_01;32_01;;NO;Yang et al 2013 Ecosphere;NA
sp_33_01;33_01;;NO;Garcia et al 2000 Rev. Biología Tropical;NA
sp_34_01;34_01;;NO;Gorchov et al 1995 Oikos;NA
sp_35_01;35_01;;NO;Palmeirim et al 1989 Oecologia;NA
sp_36_01;36_01;;NO;Lopez & Vaughan 2004 Acta Chiropterologica;NA
sp_37_01;37_01;;NO;Heleno et al 2013 Proc Biol Sci;NA
sp_38_01;38_01;;NO;Hernandez-Montero et al 2015 PloS ONE;NA
sp_38_02;38_02;;NO;Hernandez-Montero et al 2015 PloS ONE;NA
sp_39_01;39_01;;NO;Passos et al 2003 Rev. Brasileira de Zoologia;NA
sp_40_01;40_01;;NO;Pedro 1992 PhD thesis;NA
sp_41_01;41_01;;NO;Poulin et al 1999 J Tropical Ecol;NA
sp_42_01;42_01;;NO;Sarmento et al 2014 Zoologia;NA
sp_43_01;43_01;;NO;Stiebel & Barlein 2008 Vogelwarte;NA
sp_45_01;45_01;;NO;Saavedra et al 2014 Oecologia;NA
sp_45_02;45_02;;NO;Saavedra et al 2014 Oecologia;NA
