ind,se_obs_h
1933,31.799999999999997
1931,31.799999999999997
1932,31.799999999999997
1934,28.299999999999997
1936,32.2
1937,30.5
1938,30.5
1939,20.8
1940,30.5
1921,27.5
1823,16.3
1824,16.6
1820,13.7
1825,20.5
1929,27.5
8801,52.099999999999994
8808,52.6
8814,52
8865,52.6
