ind,se_obs_h
ERYM01,2
ERYM02,1.7
ERYM04,2
ERYM05,2
ERYM07,2
ERYM09,2
ERYM10,2
ERYM11,2
ERYM12,1.8
ERYM13,2
ERYM14,2.2
ERYM15,2
