ind,se_cam_h
T1,48
T2,48
T3,48
T4,48
T5,48
T6,48
T7,48
T8,48
T9,48
T10,48
T11,48
T12,48
T13,48
T14,48
T15,48
T16,48
T17,48
T18,48
T20,48
T21,48
T22,48
T23,48
T24,48
T25,48
T26,48
T28,48
T29,48
T30,48
T31,48
T32,48
T33,48
T34,48
T35,48
T37,48
T38,48
T39,48
T40,48
T41,48
T42,48
T43,48
T44,48
T45,48
T46,48
T47,48
T48,48
T49,48
T50,48
T52,48
T53,48
T54,48
T55,48
T56,48
T57,48
T58,48
T59,48
T60,48
