ind,se_obs_h
BURD01,2
BURD02,1.5
BURD03,2.2
BURD04,1.8
BURD05,2
BURD06,2
BURD07,2.2
BURD08,2.2
BURD09,1.8
BURD10,2
BURD11,2
BURD12,2
BURD13,2
BURD14,2
BURD15,2
