ind,se_obs_h
Mi1,16
Mi3,16
Mi4,16
Mi5,16
Mi6,16
Mi7,16
Mi8,16
Mi10,16
Mi12,16
Mi14,16
Mi17,16
Mi18,16
Mi20,16
Mi21,16
Mi23,16
