ind,se_obs_h
C1,6.5
C10,6.5
C11,6.5
C12,6.5
C13,6.5
C14,6.5
C15,6.5
C16,6.5
C17,6.5
C18,6.5
C19,6.5
C2,6.5
C20,6.5
C21,6.5
C22,6.5
C23,6.5
C24,6.5
C25,6.5
C26,6.5
C28,6.5
C3,6.5
C4,6.5
C5,6.5
C6,6.5
C7,6.5
C8,6.5
C9,6.5
